id,ground_truth,text
hatespeech_implicit_0,inferiority,their horrific 3rd world standards have damaged our culture and made our youth socially retarded
hatespeech_implicit_1,incitement,but flooding white america with race mixing in advertisements is just as wrong as forcing an individual to not marry someone of other race .
hatespeech_implicit_2,irony,What do you call a black guy with half a brain? Gifted
hatespeech_implicit_3,threatening,end them all potus!!!!!
hatespeech_implicit_4,white grievance,they target whites everyday .
hatespeech_implicit_5,stereotypical,jews are known for bravery . they could simply move to israel but instead they try to pass as white .
hatespeech_implicit_6,irony,maybe should get an island for these obama felons. like australia started. dump them there 2 live with obie.
hatespeech_implicit_7,incitement,i am sure he hasnt just another lie on the road to the white house to destroy america . if they came here illigslly they need to leave now that is fair to americansnn
hatespeech_implicit_8,incitement,happy 126th birthday adolf ! | white racial identity
hatespeech_implicit_9,inferiority,the miscreant vermin still has 2 years left to dismantle the military while he's attacking america socially.
hatespeech_implicit_10,white grievance,new black panther's white genocide project : ' if they are white  kill em all ' | read more :
hatespeech_implicit_11,white grievance,they are not the future . ( ( ( paul krugman ) ) ) gloats over demise of white america
hatespeech_implicit_12,incitement,homosexuality  gun grabbing  and fake nationalism is not cool .
hatespeech_implicit_13,stereotypical," textbook subversion : white house court jew gary cohn resurrects  "" war on coal "" "" via """
hatespeech_implicit_14,stereotypical,racist or white supremacy would want nothing more than government programs . a single generation of welfare destroys so many skills  fathers
hatespeech_implicit_15,incitement,no regrets ! way to go guys . no more white shame . no more white guilt .
hatespeech_implicit_16,stereotypical,you are a blond you don't know your ass from a hole in the ground ! no matter what color your hair is your blond .
hatespeech_implicit_17,white grievance,#whitepeople are the most hated & oppressed group in the us  yet the majority of whites have done nothing but shrug and change the channel .
hatespeech_implicit_18,irony,"Women are like wine: I can only afford the really cheap ones that have the big, ugly boxes that leak."
hatespeech_implicit_19,threatening,"it was found to be happening today in california too, stop the payments to sanctuary cities now"
hatespeech_implicit_20,stereotypical,anti-white ( ( ( ) ) ) walks out of gop convention . maybe he should move to israel since he so detests white goyim .
hatespeech_implicit_21,stereotypical,these people are so evil that they even kill fellow muslims .
hatespeech_implicit_22,incitement,cbn : sweden is on the fast tract to become a 3rd world country #swrm via
hatespeech_implicit_23,inferiority,what if white privilege is actually white accomplishment ?
hatespeech_implicit_24,incitement,"  "" i'm tired of hearing about optics . lots of larping nazis on cnn and msnbc are what we need for our cause . "" "" """
hatespeech_implicit_25,white grievance,watch antifa member attack a supporter at the event . #auburnlive #auburn #altright
hatespeech_implicit_26,stereotypical,: 9 year old white boy commits suicide after being tormented for months by racist arabs disgusting ! ! !
hatespeech_implicit_27,irony,"oh, great! another magnet to attract the wrong kind of people we want in the us. we will never sol"
hatespeech_implicit_28,irony,bad drivers are fined $ <number> now that s just sexist .
hatespeech_implicit_29,inferiority,"the biological differences between the races are obvious to anyone with a working set of eyes. crime stats, inventions, cultu"
hatespeech_implicit_30,white grievance,will the white oppression never cease !
hatespeech_implicit_31,stereotypical,obama wake up ! illegal immigrants are killing this country on your pathetic watch .
hatespeech_implicit_32,white grievance,steve clevenger is suspended for speaking out against the anti-white attacks in #charlotte and the anti-white hate of #blm .
hatespeech_implicit_33,white grievance,there is now a national white privilege conference . why is there not a stop race baiting and stop blaming the white man national conference ?
hatespeech_implicit_34,white grievance,article 4 sec 4 of our constitution . black & white . we are being invaded .
hatespeech_implicit_35,threatening,ban hijab and burka. they need to assimilate or leave
hatespeech_implicit_36,incitement,shitlibs are purging the white males for criticizing hillary :
hatespeech_implicit_37,inferiority,"bp agent: nothing done to secure #border from #ebola, apprehensions at 30%"
hatespeech_implicit_38,incitement,one race one nation and you wont have racial bias
hatespeech_implicit_39,incitement,white pride worldwide hooded sweatshirt via
hatespeech_implicit_40,white grievance," i've been telling people  "" overwhelming diversity can / will undermine social cohesion "" "" """
hatespeech_implicit_41,white grievance,why ? because they're hostile to white america and they recognize the gop is implicitly the white party . not rocket science .
hatespeech_implicit_42,inferiority,"flood: feds predict another 127,000 illegals this year via #border #secureourborder #noamnesty"
hatespeech_implicit_43,white grievance,soon  white people will not be a majority anywhere . you believe
hatespeech_implicit_44,white grievance,because if christian white nationalists r just like muslim terrorists  we can kill them with impunity
hatespeech_implicit_45,threatening,the kids need deported with the parents illegals are illegals regardless of age
hatespeech_implicit_46,stereotypical,blacks in us literally take more then they give back  your people are taking white tax dollars & complaining that it's still not enough
hatespeech_implicit_47,irony,"yep, genetics is racist. jesus, man, quit drinking before it's too late."
hatespeech_implicit_48,white grievance,nsa leaker : being white is terrorism via
hatespeech_implicit_49,white grievance,the replies show just how important it is to be pro-white in these anti-white times .
hatespeech_implicit_50,inferiority,Why are paracetamol white??? Because they work
