id,ground_truth,text,implied_statement,implied_statement_without_target_info
hatespeech_target_0,liberals,"yeah, how dare those extreme left wingers jump in front of a car driven by a poor ickle innocent nazi ?",Liberals are extreme left and are dumb,"{'extreme', 'dumb'}"
hatespeech_target_1,no specific group,"now try something correct. by, loser. let us in the real world do","No stereotype, poor grammar.","{'stereotype', 'poor', 'grammar'}"
hatespeech_target_2,christians,the employment non-discrimination act ( enda ): a threat to free markets and freedom of conscience and religion,Christians are discriminated against,{'discriminated'}
hatespeech_target_3,jewish people,paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents,Jews are feeble and weak,"{'weak', 'feeble'}"
hatespeech_target_4,minorities,white pride knows it  the world white heritage union knows,Minorities are substandard races,"{'race', 'substandard'}"
hatespeech_target_5,non white people," rt putting the  "" white "" "" back in white house . love it ! """,non-white people are inferior,{'inferior'}
hatespeech_target_6,illegal immigrants,careful don't feed the tribesman,Immigrants are primitive tribesmen,"{'tribe', 'primitive'}"
hatespeech_target_7,black people,infiltrator black politician wants anti-white ethnic cleansing in estonia | read more :,Blacks advocate for white slaughter,"{'slaughter', 'advocate'}"
hatespeech_target_8,illegal immigrants,extinction of america's white population speeds up via,Immigrants are invading America,{'invading'}
hatespeech_target_9,islamic people,islamist wanting to kill jews  who would have thought ? #islam,Islamic people are murderers.,{'murderer'}
hatespeech_target_10,white people,if a politician won't say outright he is for the white race  its because he isn't ! vote right / vote white !,White people are the right race.,{'race'}
hatespeech_target_11,illegal immigrants,"correct, they're not. so why are they here? get rid!",Immigrants have to get out from the country,"{'country', 'get'}"
hatespeech_target_12,illegal immigrants,#wethepeople demand #buildthewall #wallsandlaws arrest those who harbours and helps criminals its called obstruction of justice 10yr jail,Immigrants are criminals,{'are'}
hatespeech_target_13,liberals," incredible how sf  "" leaders "" "" want a policy where the cops tip off illegals & not cooperate with ice ! absolutely incredible ! ! """,Liberals advocate law breaking,"{'breaking', 'law', 'advocate'}"
hatespeech_target_14,liberals,infanticide is unacceptable in a civilized society . congress must pass the born-alive abortion survivors protection act .,Liberals are baby murderers,"{'murderer', 'baby'}"
hatespeech_target_15,illegal immigrants,"no, no, no, no, no! we want them out of america now!!!!!",Immigrants should be deported,{'deported'}
hatespeech_target_16,liberals," the left celebrates  "" diversity "" "" and racial bias in the judiciary  but hisses "" "" racist "" "" when trump brings it up """,Liberals are hypocrites.,{'hypocrite'}
hatespeech_target_17,black people,from what i'm reading here in the us  it's racial hate from blacks on white  and especially the farmer .,Blacks hate whites,{'hate'}
hatespeech_target_18,black people,race war in south africa : white students attacked with rocks and bricks at western cape university by,Blacks are violent.,{'violent'}
hatespeech_target_19,liberals,yeah cmon you libs stop race baiting nevermind those white folks,Liberals don't like white people.,{'like'}
hatespeech_target_20,minorities,every white woman in america and other white nations needs to be able to handle a firearm ! !,Minorities want to kill whites.,"{'kill', 'want'}"
hatespeech_target_21,liberals," when islam is just  "" stuff white people like "" "" via """,Liberals are gullible,{'gullible'}
hatespeech_target_22,asian people,those pesky buddhist again!,Asian people are annoying,{'annoying'}
hatespeech_target_23,minorities,you're not good or white enough,Minorities are less than whites.,{'less'}
hatespeech_target_24,jewish people,boots with swastika design causes jewish outcry va,Jewish people are hurting.,{'hurting'}
hatespeech_target_25,non white people,gavin married non-white too . you can't get more anti-white  than not choosing a white partner .,non-white people are enemies,{'enemy'}
hatespeech_target_26,white people,tfw you're neurotically trying to prevent a genocide while openly committing one of your own against white people .,genocide against whites,{'genocide'}
hatespeech_target_27,black people,black leaders advocating genocide of white devils ; dhs official booted for advocating white genocide,Blacks promote white destruction.,"{'promote', 'destruction'}"
hatespeech_target_28,muslims,"of course! be afraid, terrorists. be very, very afraid. super-trump is coming to the white house!",Muslims are terrorists,{'are'}
hatespeech_target_29,minorities,go fight for white existence without us white southerners and see how far you get .,Minorities are destroying whites,{'destroying'}
hatespeech_target_30,no specific group,"park rangers & game wardens should be used 2 perform an eviction. what's good for us, good 4 them.",the group should be evicted out of their houses.,"{'evicted', 'group', 'house'}"
hatespeech_target_31,minorities,white americans least likely to race mix #swrm #niceone keep up the good work  make america great again !,Minorities are less than the white race.,"{'race', 'less'}"
hatespeech_target_32,black people,fact : 90 % of all interracial crime in usa is black on white | read more : via,Black people hurt white people.,{'hurt'}
hatespeech_target_33,white people,weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .,White people can't say what they are thinking.,"{'thinking', 'say'}"
hatespeech_target_34,minorities,"  "" jews "" "" are white  if a "" "" jew "" "" didn't tell you that they were "" "" jewish "" "" you'd think they're white for the most parts ... """,minorities are inferior,{'inferior'}
hatespeech_target_35,black people,all black people are racist .,Black people are racist,{'are'}
hatespeech_target_36,progressives," funny how it's  "" racist "" "" to get the white vote  while they openly want the votes from jews  blacks  hispanics  etc . """,Progressives are hypocrites.,{'hypocrite'}
hatespeech_target_37,asian people,racist test for asians . tell them their daughter's seeing a black / white man and see what follows .,Asians don't date outside their race.,"{'date', 'race', 'outside'}"
hatespeech_target_38,illegal immigrants,ok were are they getting the moneydams breaking roads crumble fires every were but illegals come first.how about using money to help vets,The post implies that money are used for illegal immigrants instead of more important things,"{'post', 'instead', 'thing', 'implies', 'important', 'used', 'money'}"
hatespeech_target_39,white people,"  "" white supremacist "" "" is just an anti-white hate slur used to silence whites who protest their own genocide . #stopwhitegenocide """,White people think they are better than other races.,"{'race', 'think', 'better'}"
hatespeech_target_40,jewish people,jews are jews  most certainly not white - they're contrary to whites,Jews aren't white.,"{'t', 'aren'}"
hatespeech_target_41,illegal immigrants,go back u piece of shits.,Immigrants should be deported,{'deported'}
hatespeech_target_42,illegal immigrants,enough  illegal means illegal ! after the rape of the 14 yr . old  i want these ppl out,Illegals are rapists,{'rapist'}
hatespeech_target_43,muslims,: muslim who murdered jewish girlfriend says im going to kill every jew . one isnt enough for me .,Muslims hate Jews.,{'hate'}
hatespeech_target_44,non white people,do you want to save the #whiterace the wise ( #wei #white ) from #whitegenocide ?,non-white people are oppressive,{'oppressive'}
hatespeech_target_45,non white people,what they want is of little value in a land swarming with hostile non whites . race first ! all else is dross !,Non-whites are dangerous.,{'dangerous'}
hatespeech_target_46,jewish people,jews are not white . they admit this themselves and they have difference dna than gentiles,Jews are not white.,"{'not', 'are'}"
hatespeech_target_47,christians,christian are worshipping a god that commanded people to kill gay and apostate ! !,Christians believe in murdering gays,"{'murdering', 'believe'}"
hatespeech_target_48,illegal immigrants,we either have laws or we don't . your here legally or not . it's black and white . illegals are illegal .,Illegals believe the law doesn't apply to them.,"{'apply', 'believe', 'law'}"
hatespeech_target_49,minorities,you aren't white ... go away,Minorities are inferior.,{'inferior'}
hatespeech_target_50,minorities,pro-white artists need to rally around : #flint #bonestown #trs new dawn for white art ..,Minorities are inferior,{'inferior'}
hatespeech_target_51,muslims,"rt : need to ban """"no go zones and the practice of sharia law. need to bloc muslim refugees from middle east unless",Muslims are violent,{'violent'}
hatespeech_target_52,jewish people,former cop and author james lancia & i discuss his book  political correctness  jewish supremacy & #whitegenocide,Jews want to eliminate white people,"{'want', 'eliminate'}"
hatespeech_target_53,white people,remember goys  making disparaging remarks about poor less educated whites is always ok,White people are poor and uneducated.,"{'poor', 'uneducated'}"
