id,text,ground_truth
tone_0,"[Mary Landrieu]: ""I'm Mary Landrieu and I approve this message."" [Announcer]: We cleaned up State Government. But John Kennedy didn't clean up his act. As Treasurer, Kennedy took over $395,000 for his campaign and then issued tax-free bonds to his contributors. One group of contributors gave thousands while at the same time Kennedy gave their company, $6.4 million in bonds. The same old pay to play politics. John Kennedy, not only confused, but wrong for Louisiana. [PFB]: FRIENDS OF MARY LANDRIEU",negative
tone_1,"[Announcer]: Bob Schaffer says 'I am pro-George Bush' and 'I have a solid record to prove it.' And, big oil Bob Schaffer wasn't kidding. Schaffer supported the failed Bush economic policies that let Wall Street run wild. He voted for billions in tax- breaks for corporations who ship jobs overseas. And he voted to give billions in tax-breaks to the oil companies. I am pro- George Bush and I have a solid record to prove it, isn't that the problem? The Democratic Senatorial Campaign Committee is responsible for the content of this advertising. [PFB]: DSCC",negative
tone_2,"[Pat Roberts]: ""I'm Senator Pat Roberts, and I approve this message."" [Announcer]: While Pat Roberts has been in the Senate he opposed blanket amnesty for illegal immigrants, but while Jim Slattery was in Congress he voted for amnesty for millions. While Roberts protected Medicare for 400,000 Kansas seniors, Slattery raised taxes on Social Security. And, while Roberts always makes sure our voice is heard, Slattery stopped working for Kansas and became a Washington lobbyist. Pat Roberts never stops working for Kansas. [PFB]: PAT ROBERTS FOR U.S. SENATE",neutral
tone_3,"[Announcer 1]: Ronnie Musgrove - we trusted him as governor. What happened? Record job losses, scandals, donations from convicted felons. Musgrove slashed law enforcement budgets - drug crimes soared. Why go back to the Musgrove failures? [Announcer 2]: Roger Wicker is a fresh start. Air Force veteran, a leader in energy independence, married 32 years to Gail Wicker who works in public education. Roger Wicker, a good man fighting hard for Mississippi. [Roger Wicker]: I'm Roger Wicker and I approve this message. [PFB]: ROGER WICKER FOR SENATE",neutral
tone_4,"[Steve Pearce]: ""After ten years in office all Heather Wilson can do is try to tear me down with false ads, desperate attacks and a negative campaign. She even accused me of wanting to take Social Security away from widows and orphans. We can do better and we deserve better... I'm Steve Pearce I've always protected Social Security and I always will. As your Senator, I'll stand up for our conservative New Mexico values, and I approve this message."" [PFB]: PEOPLE FOR PEARCE",neutral
tone_5,"[Bob Schaffer]: ""Our economy is driven by average, ordinary, American citizens, by people who make investments in their neighborhoods, make investments in their small businesses."" [Announcer]: Bob Schaffer: a businessman, a tax cutter. [Bob Schaffer]: Times are tough, but we'll get our economy back on track by creating more American energy and jobs and keeping a lid on taxes. [Announcer]: The only candidate for lower taxes to grow our economy. A new direction for U.S. Senate - Bob Schaffer. [Bob Schaffer]: I'm Bob Schaffer and I approve this message. [PFB]: BOB SCHAFFER FOR U.S. SENATE",positive
tone_6,"[Announcer]: Have you seen Norm Coleman's TV ads? He says he's working for you, but on the 10 issues most critical to the Bush presidency Norm Coleman has stood with George Bush. On the Bush economic plan, on Iraq, on energy, on privatizing Social Security... so who do you believe? Norm Coleman's TV ads, or his record? It's time for Norm to go. [Al Franken]: ""I'm Al Franken, somethings got to change, and that's why I approve this message."" [PFB]: AL FRANKEN FOR SENATE",neutral
tone_7,"[Announcer]: The National Senatorial Committee is responsible for the content of this advertising. [Mark Udall]: We've got to draw a line in the sand... [Announcer]: That's what Boulder liberal Mark Udall says now, when it comes to solving America's energy crisis, Udall is as shifty as Middle Eastern sand. Udall has opposed offshore drilling in America throughout his career and public life. No on offshore drilling. No on domestic exploration. No on expanding energy production. Mark Udall... [Mark Udall]: ...Line in the sand... [Announcer]: His plan isn't worth the sand it's written on. [PFB]: NATIONAL REPUBLICAN SENATORIAL COMMITTEE",negative
tone_8,"[Announcer]: America was built on democratic principals. But, here's one simple question... What if your vote wasn't private? Some union bosses and their politician friends want to effectively do away with privacy when it comes to voting on joining a union. Employees could be exposed to intimidation at work and at home. So contact Ronnie Musgrove at EmloyeeFreedom.org, and ask him this one simple question, shouldn't your vote still be private? [PFB]: MISSISSIPPIANS FOR EMPLOYEE FREEDOM",negative
tone_9,"[Mary Landrieu]: I'm Mary Landrieu and I approve this message. [Jack Strain]: ""The honesty and integrity that she brings to the job I believe speaks louder than anything anyone else could say."" [Thomas Schiro]: ""Senator Landrieu is honest and she tells our sheriff anything. We can count on her."" [Announcer]: John Kennedy: falsely attacking Mary Landrieu. To hide his own record, Kennedy voted to allow politicians convicted of corruption to keep their taxpayer pensions. Even Republicans say his mismanagement cost Louisiana taxpayers $37 million. John Kennedy, one confused politician. [PFB]: FRIENDS OF MARY LANDRIEU",negative
