id,ground_truth,text,Community,Id,Timestamp,User,is_admin,Adminship date,meta.Normalized Score,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Politeness,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Score1_normalized,Score2_normalized,Score3_normalized,Score4_normalized,Score5_normalized,Score1_binarized,Score2_binarized,Score3_binarized,Score4_binarized,Score5_binarized
politeness_wiki_0,impolite,"In your nom of Everyking you wrote ''...as Everyking is a former administrator, he made over 1,300 in his 2+ year time as a sysop.'' Should that be over 1,300 sysop actions?",Wikipedia,586192,2008-08-25 19:43:00,ejf,False,,-0.7142621206171912,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,impolite,5,9,13,13,11,A1BQCRF5Q76YFY,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A31RP7HI5172B,A3SQ6ORWDN5BGZ,-2.0173416111186064,-1.1051070816952244,-0.2228311599837888,-0.22690475560034,-0.6136395961419159,-1,-1,0,0,-1
politeness_wiki_1,polite,"Crimson, there is a discussion at <url> where we have implemented a new template for bot operators when their bot is blocked stating that it is in ''no way'' an indication or accusation of wrong doing on the operator's behalf. I'm sorry you have interpreted that way - would you be willing to re-consider your retirement?",Wikipedia,626932,2013-01-17 16:11:00,giantsnowman,False,,1.3305875558226066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,polite,25,17,21,17,20,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A34A6MSJTD9A4L,A3LXBP8T6JMY9B,A1Y3Z92RE62NPS,2.4074734816957117,0.6140909979542951,1.4528052717319246,0.5792298300991339,1.2548944049502528,1,1,1,1,1
politeness_wiki_2,impolite,Did you upload ''Image:1111.jpg'' to make a point about censorship? What exactly is your intention with that image?,Wikipedia,626512,2005-05-21 20:22:00,kingturtle,True,2003-05-12,-0.7300840546573325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,impolite,13,5,13,13,6,A22SZHZTF72TRM,A6YO9886DY2SC,A2GSW5RBAT5LQ5,AYG3MF094634L,AHH34KPTA2LSS,-0.2474155739928794,-1.964706121519984,-0.2228311599837888,-0.22690475560034,-1.6517140411931208,0,-1,0,0,-1
politeness_wiki_3,polite,Hate to be a bother... but need help with getting the bot running? Anything I can do as a non programmer?,Wikipedia,166330,2011-07-15 05:29:00,jmh649,True,2010-08-20,0.9952236185184618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,polite,17,17,21,25,21,A2UFD1I8ZO1V4G,A7GFJUB1W93A2,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,0.6375474445699841,0.6140909979542951,1.4528052717319246,2.191499001498081,1.4625092939604938,1,1,1,1,1
politeness_wiki_4,polite,"I am not familiar with the credit card / porn star identity incident you mentioned in AnonEMouse's RFA, but I would like to take a closer look at it.  Could you provide some more direct diffs related to Mouse's involvment?",Wikipedia,61271,2006-11-02 21:48:00,dragons flight,True,2005-08-20,0.6816475409784287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,polite,18,21,15,21,7,A3I83CQLOZRO79,A233ONYNWKDIYF,AI4WWBB2PNCKH,A26YKYQIA3GX8B,A28K8ST8B2XU0N,0.8587881992106999,1.473690037779055,0.1960779479451395,1.3853644157986076,-1.4440991521828797,1,1,0,1,-1
politeness_wiki_5,impolite,Hello???  Are you just pretending I don't exist?,Wikipedia,619157,2007-09-16 02:41:00,tom danson,False,,-1.5402543282370234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,impolite,9,5,5,2,5,AE3D6SE2D8UPQ,A6YO9886DY2SC,A1BJTTNDDFZ3ZP,A1TLLJDX8H4JP1,A13CO3B2BRXQLZ,-1.132378592555743,-1.964706121519984,-1.8984675916995024,-2.443774866273893,-1.8593289302033615,-1,-1,-1,-1,-1
politeness_wiki_6,polite,"Thanks, but I am now having trouble finding it. Any suggestions?",Wikipedia,425559,2011-06-28 10:11:00,jodyb,True,2007-07-07,0.6633157325116168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,polite,13,16,18,18,17,A233ONYNWKDIYF,AYG3MF094634L,A1F4D2PZ7NNWTL,AZ1RJVNOZFIWV,AZOAW8JH5HJJK,-0.2474155739928794,0.3991912379981052,0.8244416098385321,0.7807634765240022,0.6320497379195299,0,0,1,1,1
politeness_wiki_7,impolite,"He's back with yet another IP, leaving abusive and harassing messages on my personal talk page as well as here. Is there anything that can be done to end his disruption for good?",Wikipedia,5508,2009-06-20 12:52:00,aggiebean,False,,-0.5497298185495435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,impolite,1,10,17,21,13,A1R4VG71V6XECZ,A2WKPCZU4U110T,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,-2.90230462968147,-0.8902073217390344,0.6149870558740679,1.3853644157986076,-0.198409818121434,-1,-1,1,1,0
politeness_wiki_8,impolite,"What part of ""use common sense"" did not get through to you? Was it the ""use,"" the ""common,"" the ""sense,"" or some combination thereafter?",Wikipedia,626797,2007-03-21 18:40:00,picaroon9288,True,2007-02-07,-2.2512638913106224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,impolite,3,1,1,1,1,AW6UIL04MLQ9N,AO5E3LWBYM72K,A3MN5VOZFQPNZF,A24VFD1THQRMFO,A3R708BQ3N67PY,-2.4598231204000385,-2.824305161344744,-2.7362858075573597,-2.6453085126987617,-2.6897884862443253,-1,-1,-1,-1,-1
politeness_wiki_9,impolite,Huh? Who the hell are you?,Wikipedia,629967,2007-02-17 17:35:00,full shunyata,False,,-2.880110028454214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,impolite,6,4,5,1,6,AYG3MF094634L,A1F4D2PZ7NNWTL,A37ADCYLCSB5O2,A38N58BSMTA0BE,A2JKFTV0JXWMI6,-1.7961008564778906,-2.1796058814761743,-1.8984675916995024,-2.6453085126987617,-1.6517140411931208,-1,-1,-1,-1,-1
politeness_wiki_10,polite,i made a mistake on adding a colon on <url> and it can't be reverted. Could you help?,Wikipedia,422994,2011-04-05 03:06:00,bread ninja,False,,0.9641076102415156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,polite,16,17,21,16,21,ANMGOZ451W9ZN,A1QV3X9YMQQ3OQ,AVV4KDLSDAS9E,A2LQ33BQ8G259D,A3FGBGZ4RKH712,0.4163066899292681,0.6140909979542951,1.4528052717319246,0.3776961836742654,1.4625092939604938,0,1,1,0,1
politeness_wiki_11,impolite,"CIV, I'll grant (and yes, I shouldn't have). But how is it a violation of AGF to say that Stewart suggested the article be vandalized?",Wikipedia,620837,2007-09-11 04:24:00,dragonflysixtyseven,True,2005-10-09,-0.4971849750976265,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,impolite,9,7,13,17,12,A233ONYNWKDIYF,A21753FQKCM5DQ,A2VMJFBCB921NI,ARYGQ46IMW8AU,AZOAW8JH5HJJK,-1.132378592555743,-1.5349066016076045,-0.2228311599837888,0.5792298300991339,-0.4060247071316749,-1,-1,0,1,0
politeness_wiki_12,polite,"In short, based on the sparse information provided by outsiders, I would like to work constructively with you (and others) to whip the article into shape, as its presence seems warranted but the article is unlikely to garner necessary details from random contributors.  What shall I do next?",Wikipedia,491850,2009-07-28 19:27:00,shiwsup,False,,1.203712121956681,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,polite,21,13,25,20,17,AUJNGT4ODJ6TE,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,AIPXB863TARAK,1.5225104631328477,-0.2455080418704646,2.290623487589781,1.183830769373739,0.6320497379195299,1,0,1,1,1
politeness_wiki_13,impolite,"Why can't we do like IMDB and have multiple ratings?  Is it that simple, or am I crazy?",Wikipedia,463473,2009-09-09 20:44:00,hawstom,True,2004-10-18,-1.0768488155187828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,impolite,13,9,5,13,5,AUJNGT4ODJ6TE,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,AIPXB863TARAK,-0.2474155739928794,-1.1051070816952244,-1.8984675916995024,-0.22690475560034,-1.8593289302033615,0,-1,-1,0,-1
