id,year,party,text,ground_truth,manifesto_id,date,cmp_code,countryname,partyname,partyabbrev,parfam
manifestos_issues_detailed_0,2013,23113,"--tie agricultural payments to ecological and social benefits, such as climate and environmental protection or strengthening regional value chains; --promote",Agriculture and Farmers,23113_201310,201310,703,Luxembourg,The Greens,,10
manifestos_issues_detailed_1,2010,86110,"which would again have a positive impact on rural employment,",Agriculture and Farmers,86110_201004,201004,703,Hungary,Politics Can Be Different,LMP,10
manifestos_issues_detailed_2,2010,63110,strengthen national research and development coordination and funding for new industries that deliver environmental and community benefits.,Agriculture and Farmers,63110_201008,201008,703,Australia,Australian Greens,,10
manifestos_issues_detailed_3,2009,171101,Support for alternative forms of agricultural production and consumption are essential to add value to our meager production,Agriculture and Farmers,171101_200907,200907,703,Mexico,Mexican Green Ecologist Party,PVEM,10
manifestos_issues_detailed_4,2007,43110,"We recall that global nutrition is a problem of distribution, not of quantitative production.",Agriculture and Farmers,43110_200710,200710,703,Switzerland,Green Party of Switzerland,GPS/PES,10
manifestos_issues_detailed_5,2009,171101,ensuring that it is always used under strict control and safety measures,Agriculture and Farmers,171101_200907,200907,703,Mexico,Mexican Green Ecologist Party,PVEM,10
manifestos_issues_detailed_6,2010,21111,"Unfortunately, the resulting measures are far from having proved their effectiveness.",Agriculture and Farmers,21111_201006,201006,703,Belgium,Ecologists,ECOLO,10
manifestos_issues_detailed_7,2007,83110,Agriculture is not just about food production and its diversity is crucial.,Agriculture and Farmers,83110_200703,200703,703,Estonia,Estonian Greens,EER,10
manifestos_issues_detailed_8,2013,23230,"a. Improve living and working conditions for farmers,",Agriculture and Farmers,23230_201310,201310,703,Luxembourg,The Left,,20
manifestos_issues_detailed_9,2011,94221,"It will carry out technical re-equipment of agriculture,",Agriculture and Farmers,94221_201112,201112,703,Russia,Communist Party ot the Russian Federation,KPRF,20
manifestos_issues_detailed_10,2000,33220,", since the Achilles heel of these is the obligatory nature of co-financing in the EU.",Agriculture and Farmers,33220_200003,200003,703,Spain,United Left,IU,20
manifestos_issues_detailed_11,2002,35220,the settlement and maintenance of populations in their territories,Agriculture and Farmers,35220_200203,200203,703,Portugal,Portuguese Communist Party,PCP,20
manifestos_issues_detailed_12,2012,31230,reforming agricultural markets,Agriculture and Farmers,31230_201206,201206,703,France,Left Radical Party,PRG,20
manifestos_issues_detailed_13,2001,32212,"More realistic is to consider granting European citizenship to anyone who has been a legal resident of the Union for at least five years, without making it conditional on the nationality of the member states.",Agriculture and Farmers,32212_200105,200105,703,Italy,Communist Refoundation Party,PRC,20
manifestos_issues_detailed_14,2012,31021,We will make this demand at both national and international level.,Agriculture and Farmers,31021_201206,201206,703,France,Left Front,FDG,20
manifestos_issues_detailed_15,2011,83410,We will put contractual cooperation between the Ministry of Agriculture and agricultural education and research institutions on a practical footing.,Agriculture and Farmers,83410_201103,201103,703,Estonia,Social Democratic Party,SDE,30
manifestos_issues_detailed_16,2012,171301,We will create programs for the countryside that take into account the farmers as part of the solutions as indispensable actors in their progress and development.,Agriculture and Farmers,171301_201207,201207,703,Mexico,Institutional Revolutionary Party,PRI,30
manifestos_issues_detailed_17,2004,23320,The state must do more to promote the regional marketing of quality Luxembourg agricultural and wine products.,Agriculture and Farmers,23320_200406,200406,703,Luxembourg,Socialist Workers’ Party of Luxembourg,LSAP/POSL,30
manifestos_issues_detailed_18,2009,171306,and adopt a permanent policy of consultation between the government and rural producers.,Agriculture and Farmers,171306_200907,200907,703,Mexico,Labor Party,PT,30
manifestos_issues_detailed_19,2006,82320,It is for this reason that we consider it necessary to bring rural and agricultural issues under one umbrella ministry - the Ministry of Agriculture and Rural Affairs.,Agriculture and Farmers,82320_200606,200606,703,Czech Republic,Czech Social Democratic Party,ČSSD,30
manifestos_issues_detailed_20,2004,97322,"As an alternative, we present a programme that provides more incentives and resources to small farmers, semi-agriculturalists and others living in urban rural centres.",Agriculture and Farmers,97322_200410,200410,703,Slovenia,Social Democratic Party,SD,30
manifestos_issues_detailed_21,2009,23320,The LSAP is doing everything in its power to ensure that Luxembourg agriculture remains GMO-free as long as the associated risks cannot be clearly assessed.,Agriculture and Farmers,23320_200906,200906,703,Luxembourg,Socialist Workers’ Party of Luxembourg,LSAP/POSL,30
manifestos_issues_detailed_22,2006,82320,"This includes, above all, the development of agriculture and forestry and the care of the cultural landscape, with the continuation of a well-thought-out social democratic agricultural policy, including the environmentally friendly use and protection of forests, water bodies and streams.",Agriculture and Farmers,82320_200606,200606,703,Czech Republic,Czech Social Democratic Party,ČSSD,30
manifestos_issues_detailed_23,2012,171311,"Include annually in the Expenditure Budget, the necessary resources for the execution and fulfillment of the goals and objectives of the National Program for Food Security and the Programs of the states and municipalities in this area.",Agriculture and Farmers,171311_201207,201207,703,Mexico,Citizens' Movement,,30
manifestos_issues_detailed_24,2006,171310,"It is true that the countryside needs more public and private investment, as well as a great deal of technological innovation, the introduction of new activities, and the integration and reconversion of production chains and regions.",Agriculture and Farmers,171310_200607,200607,703,Mexico,Social Democratic and Farmer Alternative Party,Alternativa,30
manifestos_issues_detailed_25,2008,33320,"The approval of the Law for the Sustainable Development of the Rural Environment will mean that Spain will be able to have its own State rural policy, something that has not existed in our recent history.",Agriculture and Farmers,33320_200803,200803,703,Spain,Spanish Socialist Workers’ Party,PSOE,30
manifestos_issues_detailed_26,2004,34313,- Where their inhabitants enjoy a standard of living and a quality of life worthy of a modern and strong Greece (prosperous countryside).,Agriculture and Farmers,34313_200403,200403,703,Greece,Panhellenic Socialist Movement,PASOK,30
manifestos_issues_detailed_27,2010,86320,State loan at preferential interest rates for the purchase of land by Hungarian agricultural entrepreneurs and to support their agricultural activities.,Agriculture and Farmers,86320_201004,201004,703,Hungary,Hungarian Social Democratic Party,MSzDP,30
manifestos_issues_detailed_28,2012,171301,"In fisheries, we will promote the growth of the domestic market, value added to the sector and the modernization of the fishing fleet.",Agriculture and Farmers,171301_201207,201207,703,Mexico,Institutional Revolutionary Party,PRI,30
manifestos_issues_detailed_29,2011,53320,"Labour will focus on developing the full potential of Ireland’s dairy sector, by working with the sector to increase  take-up of new technologies",Agriculture and Farmers,53320_201102,201102,703,Ireland,Labour Party,Labour,30
manifestos_issues_detailed_30,2012,171306,"The recovery of agricultural dynamics requires cheap financing, the growth of the domestic market, subsidy policies, as well as a protectionist policy that prevents imports from displacing domestic production in our internal market.",Agriculture and Farmers,171306_201207,201207,703,Mexico,Labor Party,PT,30
manifestos_issues_detailed_31,2013,23320,"Together with the professional groups concerned, the socialist Minister of Agriculture created a basis of trust and worked towards efficient and sustainable agriculture.",Agriculture and Farmers,23320_201310,201310,703,Luxembourg,Socialist Workers’ Party of Luxembourg,LSAP/POSL,30
manifestos_issues_detailed_32,2012,88320,Strengthen the status of farmers' self-management and rural NGOs.,Agriculture and Farmers,88320_201210,201210,703,Lithuania,Lithuanian Social Democratic Party,LSDP,30
manifestos_issues_detailed_33,2011,92210,"at the same time, it is difficult not to notice that access to sports offerings in the countryside is very different from those available to urban residents.",Agriculture and Farmers,92210_201110,201110,703,Poland,Democratic Left Alliance,SLD,30
manifestos_issues_detailed_34,2008,97322,"In the field of hunting, which also manages a ""renewable resource"", more intensive planning instruments should be introduced, the feasibility of hunting certain species (e.g. magpie, shoal) should be examined and the current organisation of hunting, based on hunting as a non-profit activity, should be maintained.",Agriculture and Farmers,97322_200809,200809,703,Slovenia,Social Democratic Party,SD,30
manifestos_issues_detailed_35,2009,171305,"In order to achieve a dignified countryside, in addition to strengthening property rights, it is necessary to reduce transaction costs in the application of policies and in productive and service relations in the countryside;",Agriculture and Farmers,171305_200907,200907,703,Mexico,Democratic Revolutionary Party,PRD,30
manifestos_issues_detailed_36,2013,82430,"In direct payments, we will make maximum use of direct support for livestock production and intensive crop production commodities such as fruit, vegetables and potatoes, for example;",Agriculture and Farmers,82430_201310,201310,703,Czech Republic,ANO 2011,ANO,40
manifestos_issues_detailed_37,2007,53420,Implement the key recommendations of the Malone Report including incentive payments to sheep farmers.,Agriculture and Farmers,53420_200705,200705,703,Ireland,Progressive Democrats,PD,40
