id,sentenceid,text,party,year,ground_truth,original_annotations
manifestos_social_ideology_0,10007851,They require effective and sympathetic attention from the police and we have ensured that increasingly they receive it.,Con,1987,Liberal,"{""1.24e+07"":-1,""1.52e+07"":-1,""1.53e+07"":-1,""1.58e+07"":1,""1.87e+07"":-1,""1.89e+07"":-1,""2.00e+07"":-1,""2.01e+07"":-1,""2.06e+07"":-1,""2.09e+07"":-1,""2.10e+07"":-1,""2.11e+07"":-1,""2.12e+07"":-1,""2.13e+07"":-1,""37796"":1,""5112203"":-1,""8273320"":-1,""8382218"":1,""8893451"":-1}"
manifestos_social_ideology_1,1100001101,Increase police numbers.,Con,2001,Conservative,"{""1.10e+07"":1,""1.51e+07"":1,""1.57e+07"":1,""1.68e+07"":1,""1.93e+07"":1}"
manifestos_social_ideology_2,1090005801,Contract compliance laws will be the first step towards guaranteeing the black and Asian British their fair share of jobs.,Lab,1992,Liberal,"{""1.10e+07"":-1,""1.57e+07"":-1,""1.68e+07"":-1,""1.93e+07"":-1,""1.98e+07"":-1,""2.05e+07"":-1,""2.09e+07"":-1,""5993386"":-1,""7918256"":-1,""886"":-1}"
manifestos_social_ideology_3,1070000271,Government should look outwards.,Con,1992,Liberal,"{""1.63e+07"":-1}"
manifestos_social_ideology_4,1140001501,We will also provide more cycle routes and reform planning rules to make sure that key services are more easily accessible by foot or bicycle.,LD,2005,Liberal,"{""1.42e+07"":-1,""1.73e+07"":-1}"
manifestos_social_ideology_5,1150003431,Ofsted will be given new powers to respond to parental complaints and where necessary to close failing schools or replace failing management.,Lab,2005,Conservative,"{""2.02e+07"":1}"
manifestos_social_ideology_6,1120014201,We want to take further radical steps to ensure the civil ser vice has the skills base necessary to meet the challenges set out in this manifesto.,Lab,2001,Liberal,"{""1.51e+07"":-1}"
manifestos_social_ideology_7,1120010721,The level of educational attainment of children in care will be significantly increased.,Lab,2001,Liberal,"{""1.16e+07"":-1}"
manifestos_social_ideology_8,1160007271,So we will introduce a system where the courts can specify minimum and maximum sentences for certain offenders.,Con,2010,Conservative,"{""1.10e+07"":1,""1.52e+07"":1,""1.57e+07"":1,""1.68e+07"":1,""1.87e+07"":1}"
manifestos_social_ideology_9,1070009431,A number of public services and voluntary bodies are engaged in fighting drug misuse at local level.,Con,1992,Conservative,"{""1.10e+07"":1,""1.82e+07"":1,""2.01e+07"":1}"
manifestos_social_ideology_10,1150004981,Making sure crime does not pay. Those who commit crimes should not profit from them.,Lab,2005,Conservative,"{""1.40e+07"":1,""1.52e+07"":1,""1.57e+07"":1,""1.66e+07"":1,""1.68e+07"":1}"
manifestos_social_ideology_11,60009081,"The incorporation of the European Convention will establish a floor, not a ceiling, for human rights.",Lab,1997,Liberal,"{""1.01e+07"":1,""1.18e+07"":-1,""1.19e+07"":0,""1.20e+07"":-1,""1.24e+07"":-1,""1.32e+07"":-1,""1.52e+07"":-1,""1.88e+07"":0,""2.09e+07"":-1,""2.11e+07"":-1,""2.12e+07"":-1,""2.13e+07"":-1,""2793302"":-1,""568434"":-1}"
manifestos_social_ideology_12,1070001841,"British proposals helped to shape the key provisions of the Treaty including those strengthening the enforcement of Community law defence, subsidiarity and law and order.",Con,1992,Conservative,"{""1.10e+07"":1}"
manifestos_social_ideology_13,1130001571,"Our schools should be places where children also learn other skills for life, such as healthy living, being part of a team and respecting others.",Con,2005,Conservative,"{""2.00e+07"":1}"
