id,ground_truth,text
hatespeech_explicit_0,explicit hate,if it's white it has to go ! ms . liberty's time will come.anti - racist is a code word for #antiwhite . #chasingdownwhites .
hatespeech_explicit_1,explicit hate,white pride syria
hatespeech_explicit_2,explicit hate,: mandela's rainbow nation : white woman raped then stoned by racist blacks in south africa ( video )
hatespeech_explicit_3,explicit hate,the northwest front . no jews  no queers  no mudsharks  just right .
hatespeech_explicit_4,explicit hate,what children ! ? white america's shrinking  we the brownies  yellows  blacks & mutts we'll be taking over . repent of your racist sins !
hatespeech_explicit_5,explicit hate,you are insulated in the south . we all hate the south and laugh at you . your pride is pride of being a loser .
hatespeech_explicit_6,explicit hate,atlanta is pretty bad  but our blacks are much meaner in st . louis lol . they'll kill you
hatespeech_explicit_7,explicit hate,may i join u i am white myself hail hitler white power
hatespeech_explicit_8,explicit hate,jew run google soliciting donations to support non-white invasion of europe va
hatespeech_explicit_9,explicit hate,so mr spencer ... muslims hate you and in all your clever rhetoric  best you can do is hate them back ! #spoiltbratsyndrome
hatespeech_explicit_10,explicit hate,i hate hur white aids bitchs head
hatespeech_explicit_11,explicit hate,might as well ! they already lots of their own separate stuff . easier to rid them from white america .
hatespeech_explicit_12,explicit hate,women are attracted to confidence. most black men are too stupid to know why they have no reason to be confident.
hatespeech_explicit_13,explicit hate,i will happily stay at a hotel that hosts act for america who hate muslim terrorists that would kill us
hatespeech_explicit_14,explicit hate,clan come here to stay fucking niggers!
hatespeech_explicit_15,explicit hate,this woman will lie  cheat  steal  betray  kill all in the name of islamagod . muslims will never assimilate cuz they are racist #ameriphobes
hatespeech_explicit_16,explicit hate,"the value of a human is a consumer/production unit in the scheme of rich globalists, then immigrants have none"
hatespeech_explicit_17,explicit hate,white nationalists advocating for personalized communities . sounds like him crow . i would say white identity politics is history
hatespeech_explicit_18,explicit hate,women and jews did this . the white nations need white sharia and ns today  tomorrow may be too late .
hatespeech_explicit_19,explicit hate,time for your babies to die now : black woman caught abusing white infant via
hatespeech_explicit_20,explicit hate,"wait you mean like general sherman? yes, now there is a worthless piece of shit yankee vermin trash terrorist."
hatespeech_explicit_21,explicit hate,jews  communists and genocidal hate in whiteness studies #withjewswelose #hitlerwasright
hatespeech_explicit_22,explicit hate,"while hillary is at a book signing charging $2,700 ea. i wish she'd drop dead!"
hatespeech_explicit_23,explicit hate,jew stalin & his synagogue israeli bloshevique gang killed 60 000 whites in ussr ! hitler was liberator but was betrayed by jew
hatespeech_explicit_24,explicit hate,the ethnostate is a cargo cult mentality . you'll have your white state - full of godless degenerate commie faggots .
hatespeech_explicit_25,explicit hate," this is lame  where's the creativity ? and why put your white boy in the staffs (  "" house n word "" "" position ? you can do better . """
hatespeech_explicit_26,explicit hate,the league doesn't believe in cucking and disavowing other pro-white groups over associations . we have our own identity and beliefs . the difference is that we are confident in our own values and see see the pointlessness of trying to appease the media
hatespeech_explicit_27,explicit hate,vnn forum - dead white people  just right
hatespeech_explicit_28,explicit hate,we can thank the jews for flooding white lands with these nonwhite armies to use against the white race .
hatespeech_explicit_29,explicit hate,news flash ! that memorial honors non-white people too you retards . if you're gonna be racist  at least be consistent
hatespeech_explicit_30,explicit hate,talmud : last straw for great flood was marriage contracts for homosexuals . that's true jewish attitude .
hatespeech_explicit_31,explicit hate,i hope that #trump picks a harmless white man from the south like sessions as his vp---no women  no coons of any stripe .
hatespeech_explicit_32,explicit hate,donald trump  and the fall of america's institutions #cuckservative
hatespeech_explicit_33,explicit hate,we must stop #planetisrael . the nonwhite hordes helping the #jew do not know they are to die as well only #jews will allowed on earth
hatespeech_explicit_34,explicit hate,rt robert spencer rat-faced racist hate monger liar and jew lover ! > > hey robert  i like the beard . godbless
hatespeech_explicit_35,explicit hate,jews are not white idiot !
hatespeech_explicit_36,explicit hate,black thug attacks old white man with urine because of slavery #swrm #blackthug via
hatespeech_explicit_37,explicit hate,you got any of that rat jew robert spencer
hatespeech_explicit_38,explicit hate,why  because a supremacist jew told you so ?
hatespeech_explicit_39,explicit hate,what kind of queer is named kit?
hatespeech_explicit_40,explicit hate," the islamic doctrine of kafir hate .  "" allah  kill the despicable christians "" "" """
hatespeech_explicit_41,explicit hate,cuckservatives like conor friedersdorf  jonah goldberg  and kevin williamson hate the donald
hatespeech_explicit_42,explicit hate,i hate niggers and faggots!!!
hatespeech_explicit_43,explicit hate,dwath will never come soon enough for a filthy piece of fucking trash like you
hatespeech_explicit_44,explicit hate,I hope Iran nukes Israel off the map
hatespeech_explicit_45,explicit hate,muslims always plagiarise  copy and twist other people's work just like mohammad who copied then twisted the ot .
hatespeech_explicit_46,explicit hate,when y'all niggas gonna let me join? i hate niggas too
hatespeech_explicit_47,explicit hate,: kill isis . kill mohammed . love america . love jesus .
hatespeech_explicit_48,explicit hate,idiots. chickens.
hatespeech_explicit_49,explicit hate,christian are worshipping a god that commanded people to kill gay and apostate ! ! be skeptic toward your bible folk ..
hatespeech_explicit_50,explicit hate,some body shoot that dumb bitch and put her out of misery
hatespeech_explicit_51,explicit hate,juggalos are preferable to the alt lite
hatespeech_explicit_52,explicit hate,global warming and other natural phenomenon are beyond control of jewish media  stop the fraud of climate change
hatespeech_explicit_53,explicit hate,wow  you faggots sure black-pill easily .
hatespeech_explicit_54,explicit hate,you democrat trolls can call us deplorables coons  racists  and white supremacists but don't call us whiners and losers like you !
hatespeech_explicit_55,explicit hate,it's a shame louisana allowed white trash to desecrate heroes .
hatespeech_explicit_56,explicit hate,islam will bleed out .
hatespeech_explicit_57,explicit hate,: yes  yes  we get it . deport christians  kill babies  kill old people  deny vet's c
hatespeech_explicit_58,explicit hate,fishy holohoax : jews drowned in the bug river ( nov . 1942 ): jews not gassed ( or electrocuted or steamed to deat ...
hatespeech_explicit_59,explicit hate,it was just him surrounded by cucks and bannon  flynn and sessions . flynn is gone . sessions is now the target
hatespeech_explicit_60,explicit hate,i'm sure the boychick antifa faggots aren't afraid tho
hatespeech_explicit_61,explicit hate,oxymoron rt signed white ppl just fart trailer trash
hatespeech_explicit_62,explicit hate,idiotic jews and white liberals through the muslims and blacks wouldn't turn on them #timeiscoming
hatespeech_explicit_63,explicit hate,if three psycho moozlims can cause a bloodbath like this  what will happen if they launch another attack on america ? god protect the usa !
hatespeech_explicit_64,explicit hate," i love how this jew rat slave of satan claims she is  "" white "" "" no jew your not white . """
hatespeech_explicit_65,explicit hate,wow ! i wish you would go on and say that . #banallmuslims but the west is too stupid and can't believe islam is #islamonazism
hatespeech_explicit_66,explicit hate,a better question : since you say muslims hate jews  why are jews behind every movement to flood muslims into white nations ? ?
hatespeech_explicit_67,explicit hate,: trump is the ultimate example of how to lead a movement right now & idiots like wallace don't
hatespeech_explicit_68,explicit hate,you inbred incestuous freaks. go to hell!!!!!!!! #dumbtweets #fail #racist
hatespeech_explicit_69,explicit hate,if blacks have to catch up genetically via editing does that mean they admit they are inferior and that segregationists were right?
hatespeech_explicit_70,explicit hate,i hate black people
hatespeech_explicit_71,explicit hate,"if race was real (which its not), id rather have ur kinda stupid genes eliminated from our gene pool!"
hatespeech_explicit_72,explicit hate," got to side with roosh on  "" promotion of masculinity "" "" which is anathema to preening  effeminate cuckservatives """
hatespeech_explicit_73,explicit hate,ston poet - racist crackers
hatespeech_explicit_74,explicit hate,black man ( who hates all white people ) murders white man for getting in his way on sidewalk .
hatespeech_explicit_75,explicit hate,jew at it again ~ never miss a chance to validate what people don't like about them meddling-jews
hatespeech_explicit_76,explicit hate,the honesty and dignity of lindsey graham #cuckservative
hatespeech_explicit_77,explicit hate,Yooooooo I'd kill that nigger
hatespeech_explicit_78,explicit hate,jewish professor calls for white genocide  says white males should commit suicide | read more :
hatespeech_explicit_79,explicit hate,were racist for standing up for white pride.but darkies can have all the hate grps they want wtf
hatespeech_explicit_80,explicit hate,third world mongrels bring third world problems
hatespeech_explicit_81,explicit hate,good on you mate ! ! ! creepy interviewer jew !
hatespeech_explicit_82,explicit hate,white aryan race  must be above all  heil hitler ! ! !
hatespeech_explicit_83,explicit hate,not a fan  but agree with you on the 20 and 30 something #cuckservatives . their columns are #yuge ammunition for trump
hatespeech_explicit_84,explicit hate,#cuckservative in the new york times via
hatespeech_explicit_85,explicit hate,you are a phony orange sellout vendepatria zionist cuck . your base hates you now .
hatespeech_explicit_86,explicit hate,so get out there and vote for a staunch supporter of fetal murder you racists amirite ? cuck . you're worse than shameless .
hatespeech_explicit_87,explicit hate,shut up  white trash
hatespeech_explicit_88,explicit hate,your right ! any are better than islam !
hatespeech_explicit_89,explicit hate,: when is a fat  gay bastid not a fat  gay bastid ? when he's a stealth jihadist jew-hater - - just ask reza azlan : ...  ...
hatespeech_explicit_90,explicit hate,the genetic basis of intelligence is unrivaled by science and proves that low black iq is hereditary #thingsthatpanicprogressives
hatespeech_explicit_91,explicit hate,but he is not a jew . he is a christian . typical jew hating muslim
hatespeech_explicit_92,explicit hate,what's your favorite vintage of cuck tears ?
hatespeech_explicit_93,explicit hate,i hate fat people .
hatespeech_explicit_94,explicit hate,jewish cuckservatives  you mean .
hatespeech_explicit_95,explicit hate,sure there is . i'm finnish and german . i'm white . what are you ? a half breed ?
hatespeech_explicit_96,explicit hate,gotta get rid of the niggers
hatespeech_explicit_97,explicit hate,not self inflicted . jews are committing white genocide
