id,text,party,country,region,from_user_realname,ground_truth,country_code,firstname,gender,genderprob
ideology_tweets_0,"Cumhurbaşkanımız Sn @RT_Erdogan : Yeni dönemi; güçlü meclis, güçlü hükümet, güçlü Türkiye olarak ifade ediyorum!

 #VakitTürkiyeVakti",AKP,TURKEY,İSTANBUL,Hüseyin Bürge,right,TR,Hüseyin Bürge,male,0.99
ideology_tweets_1,Proof that elections ALWAYS matter. NS Blue! Talked to a few very happy Bluenosers on the campaign trail last night in #Oshawa.  Mighty proud of @TimHoustonNS and his team.,Conservative,CANADA,Ontario,Colin Carrie,right,CA,Colin Carrie,female,1.0
ideology_tweets_2,"#Sandık ,sosyal medya gürültüsüne  papuç bırakmaz!Sandık,#SîneiMillettir .Şunun şurasında birkaç gün kaldı.Bilge sandığın hükmü hepimizi bağlar!Elbetteki #Türkiye üzerinde iştahı ve hesabı olan emperyalistleri de(!).Haydi hayırlısı. #24Haziran #24haziransecimleri #24Haziran2018",AKP,TURKEY,ANKARA,AHMET İYİMAYA,right,TR,AHMET İYİMAYA,male,0.98
ideology_tweets_3,Jeg kan godt forstå det er svært at forstå - tag feks. LAs ageren i forhold til Burkaforbud og tvangssamtaler om skilsmisser mm - men sagen er meget enkel: Et regeringsparti har vetoret mod forslag fra øvrige regeringspartier. Det ville være en god ting at have den kommende tid..,The Liberal Party,DENMARK,,Søren Pind,right,DK,Søren Pind,male,1.0
ideology_tweets_4,"Ich unterstütze den Vorstoß der @JU_MucNord. Die künstliche Gender-Sprache ist grammatisch falsch. Sie trennt und spaltet. Wir brauchen eine Sprache, die eint und verständlich ist. Zu Recht wird #gendersprache daher laut Umfragen von den Bürgern klar abgelehnt. #gendernneindanke",CDU,GERMANY,,Christoph Ploß,right,DE,Christoph Ploß,male,1.0
ideology_tweets_5,"Nein, Herr Dulger, die Weiterbildung in den Betrieben funktioniert eben nicht überall. Darum ist das Ziel einer Bundesagentur für Arbeit und Qualifizierung von @hubertus_heil und der @spdde richtig. Reflexartiges Verneinen schadet allen. #Weiterbildungsrepublik",SPD,GERMANY,,Leni Breymaier,left,DE,Leni Breymaier,female,0.96
ideology_tweets_6,A superb video from @PoppyLegion busting some of the myths you might have heard or seen online. #TorbayHour #BoostTorbay,Conservative,UK,,Kevin Foster,right,GB,Kevin Foster,male,1.0
ideology_tweets_7,"Our new @GGCanada Mary Simon appoints 5 new independent Senators to fill vacancies: David Arnot (Saskatchewan), Michèle Audette (Québec), Amina Gerba (Québec), Clément Gignac (Québec) &amp; Karen Sorensen (Alberta). #cdnpoli",Liberal,CANADA,British Columbia,Dr. Hedy Fry,left,CA,Hedy Fry,female,0.98
ideology_tweets_8,Few things make me happier than seeing @SenatorCash in a marginal seat. Can we get you into Dickson or Bonner tomorrow?,Australian Labor Party,AUSTRALIA,Queensland,Senator Murray Watt,left,AU,Murray Watt,male,1.0
ideology_tweets_9,If anyone is even remotely thinking of voting for Corbyn just listen to this whole clip. Words fail me.,Conservative,UK,,Chris Philp,right,GB,Chris Philp,male,0.95
ideology_tweets_10,"Wammen og @Spolitik afkræves svar på, hvem der skal have ret til tidlig pension ifølge S. - Vi vil snakke med arbejdsmarkedets parter, lyder det intetsigende svar fra Vammen. S vil lokke vælgerne til at købe katten sækken. #dkpol #FV19",The Liberal Party,DENMARK,,Kr. Pihl Lorentzen,right,DK,Pihl Lorentzen,male,1.0
ideology_tweets_11,"“If National can’t even do the basics required on their own policy costings, they cannot be trusted to run the country. Making mistakes like this have real world consequences that New Zealand does not need in this challenging time in our history.”",Labour Party,NZ,List,Marja Lubeck,left,NZ,Marja Lubeck,female,1.0
ideology_tweets_12,"Gdyby ktoś dziś pojawił się w PL to może mieć wrażenie, że politycy jednego środowiska bardziej dbają o interes Niemiec nic Polski. Ciekawiej zaczyna się robić jak zestawimy to z poglądami kto finansował i zakładał pewne środowisko.",Law and Justice,POLAND,,Jacek Ozdoba,right,PL,Jacek Ozdoba,male,1.0
ideology_tweets_13,.@dieLinke empfiehlt der @Linksfraktion ENTHALTUNG. Gleichzeitig kann man sich vor Rettungsaufforderungen aus deren Reihen kaum retten. Das ist keine Haltung. So ein Verhalten ist bigott! @cducsubt,CDU,GERMANY,,Johann Wadephul,right,DE,Johann Wadephul,male,0.99
ideology_tweets_14,Akademische Frage: Wäre sie für die #Union doch die richtige Kandidatin gewesen? Oder wären Parteivorsitz und Kandidatur zu sehr auf Kosten ihrer Performance als #IBuK gegangen?,SPD,GERMANY,,Fritz Felgentreu,left,DE,Fritz Felgentreu,male,0.99
ideology_tweets_15,Cumhurbaşkanımız Sn @RT_Erdogan : Tüm saldırıların üstesinden sadece milli iradeye olan bağlılığımız ve güvenliğimiz sayesinde geldik.,AKP,TURKEY,İSTANBUL,Hüseyin Bürge,right,TR,Hüseyin Bürge,male,0.99
ideology_tweets_16,"Andrzej Duda jest już kompletnie oderwany od rzeczywistości. Pomóżmy mu zejść na ziemię. Dajmy mu dużo czasu do odpoczynku po 6 sierpnia.

#debataprezydencka",Civic Coalition,POLAND,,Waldy Dzikowski,left,PL,Waldy Dzikowski,male,1.0
ideology_tweets_17,"Jeg synes godt nok @venstredk har en sær opfattelse af ‘helt almindelige danskere’. Siden hvornår falder banker, virksomheder eller de få, der tjener rigtigt mange penge på aktier, ind under den betegnelse? 🤔 #dkpol #fv19",The Social Democratic Party,DENMARK,,Astrid Krag,left,DK,Astrid Krag,female,1.0
ideology_tweets_18,Denne valgkamps helt store ubesvarede spørgsmål er stadig: hvem skal træffe beslutninger om prioriteringen af sundhedsvæsenets opgaver og ressourcer? SundhedsvæsenDanmark? Ministeren? Kontaktrådene? Hvem? #dkpol,The Social Democratic Party,DENMARK,,Peter Hummelgaard,left,DK,Peter Hummelgaard,male,1.0
ideology_tweets_19,Very pleased to hear the HC decision to uphold VIc and Tas safe access zones.  Other states should now act. Women should not be harassed and bullied when accessing abortion services.,Australian Labor Party,AUSTRALIA,"Ballarat, Victoria",Catherine King MP,left,AU,Catherine King,female,1.0
ideology_tweets_20,Den borgerliga regeringen avskaffade den allmänna värnplikten. Det försvagade både försvaret och dess förankring i samhället. Nu har vi återinfört värnplikten - försvaret är numera ett nationellt intresse. #partiledardebatten,Social Democrats,SWEDEN,,Tomas Eneroth,left,SE,Tomas Eneroth,male,1.0
ideology_tweets_21,Today’s ABS labour force figures show the unemployment rate has fallen to 4.9% – the equal lowest level since December 2008. #auspol,Liberal Party of Australia,AUSTRALIA,"Higgins, Victoria",Kelly O'Dwyer,right,AU,Kelly O'Dwyer,female,0.93
ideology_tweets_22,"Not sure what @bbcnickrobinson point is. He omits to mention that Oliver Letwin, Ken Clarke, Hugo Squire, Peter Heaton-Jones, Jo Johnson, Richard Harrington, Nick Hurd, &amp; several others are also stepping down. What pattern is he referring to other than this happens every election",Conservative,UK,,Steve Double MP,right,GB,Steve Double,male,1.0
ideology_tweets_23,"BREAKING ? The GOP today blocked passage of Temporary Protected Status for approx. 200,000 Venezuelans in the U.S. who are at risk of being deported back to Venezuela, where they would face a humanitarian crisis and Maduro’s crimes against humanity. #VenezuelaTPS",Democrat,US,NJ,Senator Bob Menendez,left,US,Bob Menendez,male,1.0
ideology_tweets_24,Congratulations to Premier Gladys Berejiklian @GladysB and the Liberals on retaining Government in NSW!,Liberal Party of Australia,AUSTRALIA,"Dunkley, Victoria",Chris Crewther MP,right,AU,Chris Crewther,male,0.98
ideology_tweets_25,"Very sad hearing of the murder of @metpoliceuk Sergeant Matt Ratana. So sorry for Matt’s family, mates and colleagues. #RIP",National Party,NZ,Papakura,Judith Collins,right,NZ,Judith Collins,female,1.0
ideology_tweets_26,"Dear, dear, dear. ☹️  No contrition? It’s all her opponents fault? They made her post those disgusting  comments? The people of Lyons deserve better than THAT!  As my dad would have said - You need to take a good long look at yourself and take responsibility!",Australian Labor Party,AUSTRALIA,Tasmania,Catryna Bilyk,left,AU,Catryna Bilyk,,
ideology_tweets_27,"Das verstehe ich auch nicht. @ArminLaschet macht damit Werbung, dass er sich von einem Nazi-nahen #Querdenker und Gefährder hat anschreien lassen. Während Kommunalpolitiker und andere vor solchen Leuten geschützt werden müssen. Bürgernah geht anders.",SPD,GERMANY,,Karl Lauterbach,left,DE,Karl Lauterbach,male,0.99
ideology_tweets_28,"Thank you @CTFFCE for being such a strong voice for our teachers.

I would also like to thank @OSSTF22Niagara @ETFONiagara @niagaraot @OECTA_NEU @OECTA_NSU for your community engagement, partnership, and advocacy for their educators. I look forward to continuing to work together.",Liberal,CANADA,Ontario,Vance Badawey,left,CA,Vance Badawey,male,1.0
ideology_tweets_29,"Die Bilder aus #Afghanistan bedrücken mich sehr. Wir müssen alles in unserer Macht stehende tun, um Ortskräfte, die der @bundeswehrInfo geholfen haben und die jetzt in Lebensgefahr sind, nach Deutschland zu evakuieren. Großzügig und unbürokratisch.",CDU,GERMANY,,Christoph Ploß,right,DE,Christoph Ploß,male,1.0
ideology_tweets_30,Two days out from the election and all we hear from National is misinformation and scaremongering. Jacinda is right to call this out for what it is - desperate and frankly sad. #leadersdebate,Labour Party,NZ,Wigram,Megan Woods,left,NZ,Megan Woods,female,1.0
ideology_tweets_31,"As the COVID-19 pandemic continues, South Dakotans—especially those in rural areas—need to know they can access medical attention when they need it. Fortunately, telehealth services have become an easy and safe way for folks to speak with a medical professional from their home.",Republican,US,SD,Senator Mike Rounds,right,US,Mike Rounds,male,1.0
ideology_tweets_32,We believe you should keep more of what you earn because your money is better off in your hands than the Government’s. #BuildingOurEconomy,Liberal Party of Australia,AUSTRALIA,"Cook, New South Wales",Scott Morrison,right,AU,Scott Morrison,male,1.0
ideology_tweets_33,"Fact: In 2018, over 110,000 first home buyers got a loan.  This is the strongest result in 9 years. #Budget2019 #BuildingOurEconomy #auspol",Liberal Party of Australia,AUSTRALIA,Western Australia,Mathias Cormann,right,AU,Mathias Cormann,male,1.0
ideology_tweets_34,"Debt-doubler📈
Space-invader👾
Wage-freezer🥶
#auspol #ausvotes
#starwarsday #MayTheFourthBeWithYou 
Morrison casting all wrong, much more natural as Darth🐲Sidious.",Australian Labor Party,AUSTRALIA,Victoria,Kimberley Kitching 🇦🇺,left,AU,Kimberley Kitching 🇦🇺,female,1.0
ideology_tweets_35,"Pomorze dla @trzaskowski_ 
Wraz z @Adamowicz_Magda i wieloma wspierającymi nas osobami działamy ? #4thofJuly2020",Civic Coalition,POLAND,,Barbara Nowacka,left,PL,Barbara Nowacka,female,0.99
ideology_tweets_36,"Hvad kalder man egentlig en uge, hvor to af tre favorithold taber - og det tredje samlet er bagud 3-0? 😱 #dkpol #cldk",The Social Democratic Party,DENMARK,,Morten Bødskov,left,DK,Morten Bødskov,male,1.0
ideology_tweets_37,"All children deserve access to clean drinking water. Yet only 26% of Head Start centers have tested their drinking water for lead contamination.
 
I joined @SenDuckworth and @PattyMurray in urging @EPA to do better for our kids.",Democrat,US,DE,Senator Tom Carper,left,US,Tom Carper,male,1.0
ideology_tweets_38,"Big dispute emerging in Central Qld, with BHP signing secret agreement with 9 unknown workers, to cut wages by up to $40,000 across all their Australian mines. This can only happen because our LNP Govt sides with multinationals over workers. Read here to learn more.",Australian Labor Party,AUSTRALIA,Queensland,Senator Murray Watt,left,AU,Murray Watt,male,1.0
ideology_tweets_39,"Der er givet 6. mia. kr. mere til sundhed og 2,5 mia. kr. mere til kommunerne. Så nej, Mette Frederiksen. Vi har ikke skåret i velfærden #dkpol #ft19",The Liberal Party,DENMARK,,Hans Andersen,right,DK,Hans Andersen,male,1.0
ideology_tweets_40,Hey @GregHuntMP calling me to ask me to vote for you is not going to happen.  Im backing @sinclair_josh because I want to see a fair go for Flinders.  FYI Im 98.4 km away for your electorate .   #auspol2019,Australian Labor Party,AUSTRALIA,"McEwen, Victoria",Rob Mitchell,left,AU,Rob Mitchell,male,1.0
ideology_tweets_41,In Hornsby mall to speak with constituents - I’m here with my friend &amp; colleague @JulianLeeser as the border between the electorates of Bradfield &amp; Berowra runs through Hornsby - if you’re nearby come &amp; have a chat,Liberal Party of Australia,AUSTRALIA,"Bradfield, New South Wales",Paul Fletcher,right,AU,Paul Fletcher,male,1.0
ideology_tweets_42,"Når vi nu så gerne skulle højne tilliden til Folketinget og politikere, så ville det være godt med en statsminister, der havde lidt format, og som førte en saglig og redelig valgkamp - i stedet for at manipulere og lyve om modparten. Suk. #dkpol #løkkelyver",The Social Democratic Party,DENMARK,,Jesper Petersen,left,DK,Jesper Petersen,male,1.0
ideology_tweets_43,"Jeg overvejer lidt det her slogan: “Stem på én, der har pæren i orden.” Hvad siger I? Eller hvad med den her? “Man skal ikke blande æbler og pærer sammen.” Eller “Billige pærer til folket - så vi kan lyse - i bilen - og ud på vejen.” #dkpol #deterhumor",The Liberal Party,DENMARK,,Jan E. Jørgensen,right,DK,Jan E. Jørgensen,male,0.98
ideology_tweets_44,"On July 27, we pause to reflect on Korean War Veterans' Day. More than 26,000 Canadians served in this conflict, with 516 Canadians losing their lives, before the armistice was signed on this day in 1953. Today we honour their service and their sacrifice ??",Conservative,CANADA,Ontario,Erin O'Toole,right,CA,Erin O'Toole,female,1.0
ideology_tweets_45,"So many lovely constituents wishing me luck for tomorrow: in the hairdresser, at the tram stop, local churches praying for us, police officers...thank you all",Labour,UK,,Kate Green,left,GB,Kate Green,female,1.0
ideology_tweets_46,"Update: because of what you did yesterday, Jon Ossoff has $592,811.34 more to spend on his voter turnout effort. Just unreal.

And a new poll from today:

Ossoff 46
Perdue 45

A win in Georgia is more possible because of what you did. A huge thanks from me and @brianschatz.",Democrat,US,CT,Chris Murphy,left,US,Chris Murphy,male,0.94
ideology_tweets_47,"The Defence Minister looked the other way. Justin Trudeau rewards that inaction by keeping that Defence Minister at his cabinet table.  

Now Justin Trudeau calls a pandemic election and offers more of the same.

We need a new Prime Minister and a new Defence Minister who care.",Conservative,CANADA,British Columbia,Dan Albas,right,CA,Dan Albas,male,1.0
