id,ground_truth,text,status_id,user_id,screen_name,created_at,relevant_paula,relevant_fabio,frame_paula,frame_fabio,relevance_agreement_check,relevant_ra,mturk_annotation,WorkerId
frames_tweets17_0,health,#Trumpcare Medicaid cuts put 1.75 million veterans &amp; their families at risk #DefendTheACA,910192509351075840,462143773,RepCicilline,2017-09-19T17:22:59.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['health', 'external']","['A23LXQ5ZX2YONR', 'A2Q1YS118AO2BP']"
frames_tweets17_1,policy,Terminally ill patients deserve a right to try and find a cure for their illnesses. That is why yesterday the House voted to send the #RightToTry Act to @POTUS to be signed in to law. Click here to learn more → https://t.co/8GJqKgiUJm,999302032036188160,27676828,PatrickMcHenry,2018-05-23T14:52:25.000Z,1.0,1.0,policy prescription and evaluation,policy prescription and evaluation,True,1.0,"['health', 'health']","['A2WGW5Y3ZFBDEC', 'A37WXDYYT7RCZ0']"
frames_tweets17_2,health,"The pain of losing a child to a disease like #Cancer is unimaginable. This month during #ChildhoodCancerAwarenessMonth, we honor individuals &amp; groups like @LiveLikeBella who are working to raise awareness and advocate for research to combat this terrible disease. https://t.co/Gj9f8g4zOP",1044346991189221376,2853309155,carloslcurbelo,2018-09-24T22:05:00.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['capacity', 'constitutionality']","['A18DUG8EA8Y766', 'A2Q1YS118AO2BP']"
frames_tweets17_3,health,"As you may know, yesterday a tornado passed through southeast Alabama. @Ft_Rucker sustained some damage, but thankfully no injuries have been reported as of now and operations continued normally today. My prayers are with those impacted by the storm. 
https://t.co/6NFmJgZCHo",988465655014977538,224294785,MarthaRobyAL,2018-04-23T17:12:31.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['capacity', 'health']","['A2Q1YS118AO2BP', 'A2YYQJ3JWA2KGD']"
frames_tweets17_4,law,".@realDonaldTrump's years of perpetrating a ""a shocking pattern of illegality” at the Trump Foundation finally caught up w/ him. I think there’s an echo of that shocking pattern of illegality at Trump properties in New York, Panama, &amp; Canada. https://t.co/ux2T09Kqj8",1075078049425694722,24913074,RepSpeier,2018-12-18T17:19:15.000Z,1.0,1.0,"law and order, crime and justice","law and order, crime and justice",True,1.0,"['constitutionality', 'other']","['A2Q1YS118AO2BP', 'A3I9UOCM5EXMR2']"
frames_tweets17_5,health,Discussing healthcare in Danville w/ local leaders. We need more healthcare freedom so individuals &amp; businesses decide what's best for them https://t.co/QCIOOr05eq,908719617929039872,216881337,RandPaul,2017-09-15T15:50:14.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['constitutionality', 'health']","['A2Q1YS118AO2BP', 'A2YYQJ3JWA2KGD']"
frames_tweets17_6,economic,"As a result of these rising costs, many families have opted to go uninsured, rather than pay for these skyrocketing costs.",816736098336591876,2914515430,RepTomEmmer,2017-01-04T20:00:34.000Z,1.0,1.0,economic,economic,True,1.0,"['economic', 'capacity']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_7,policy,"Spoke with @10News about the potential government shutdown and how it would hurt San Diegans.
The American people expect us to make government work, not shut it down. Holding government services hostage to a border wall is not good governance. https://t.co/xm0HcKOji6",1075452201210920967,1135486501,RepScottPeters,2018-12-19T18:06:00.000Z,1.0,1.0,policy prescription and evaluation,policy prescription and evaluation,True,1.0,"['law', 'constitutionality']","['A2Q1YS118AO2BP', 'A2YYQJ3JWA2KGD']"
frames_tweets17_8,policy,Happy to be joined by @rosadelauro @RepLujanGrisham and @RepAnnieKuster to support @PPact and #KillTheBill! https://t.co/Qs4riSxRmJ,880217473290821632,221792092,NitaLowey,2017-06-29T00:12:53.000Z,1.0,1.0,policy prescription and evaluation,policy prescription and evaluation,True,1.0,"['political', 'policy']","['A23WTODPHXZ68Y', 'A2Q1YS118AO2BP']"
frames_tweets17_9,health,We're live from the Capitol talking about how we can improve America’s health care. Tune in here: https://t.co/u6omNGY9Cr,888048137146953728,15764644,SpeakerPelosi,2017-07-20T14:49:09.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['security', 'health']","['A2Q1YS118AO2BP', 'A5YVMQWA2IYPF']"
