id,ground_truth,text,round,batch,sent_id,worker_0,worker_1,worker_2,worker_3,worker_4,worker_5,worker_6,worker_7,disagree,agree,neutral,guid,av_rating
stance_climate_0,neutral,Carbon dioxide is photochemically reacted to produce a molecule that has higher energy content.,3,3,t30,neutral,neutral,neutral,neutral,disagrees,neutral,neutral,neutral,0.0010607090149476,0.0008613327035763,0.998077958281476,3_3_t30,-0.125
stance_climate_1,agree,Global warming is affecting the weather.,2,3,t14,agrees,agrees,neutral,neutral,neutral,neutral,agrees,agrees,0.0025988401937122,0.8537206566975291,0.1436805031087587,2_3_t14,0.5
stance_climate_2,agree,"We appreciated that a planet running a fever is just like a person running a fever, which is to say it has a whole lot of other symptoms: in this case, droughts, floods, wildfires, habitat disruption, sea level rise, species loss, crop death and more.",2,5,t24,agrees,agrees,agrees,disagrees,agrees,neutral,agrees,agrees,0.1297909127491131,0.8655919948758988,0.004617092374988,2_5_t24,0.625
stance_climate_3,disagree,"Two extremely broad propositions – carbon dioxide is a “greenhouse gas,” and human activity has warmed the planet to some extent – tallied up the papers in their survey sample that agreed with these propositions to even the slightest degree, and manufactured the “97 percent consensus” factoid.",1,7,t13,disagrees,neutral,disagrees,disagrees,neutral,neutral,disagrees,disagrees,0.6940590777416137,0.0038473971865631,0.3020935250718232,1_7_t13,-0.625
stance_climate_4,disagree,Global warming idiots out of danger.,4,8,t8,disagrees,neutral,disagrees,disagrees,disagrees,disagrees,neutral,agrees,0.9233575027161932,0.0027488547187095,0.0738936425650972,4_8_t8,-0.5
stance_climate_5,disagree,An increase in C02 emissions from fossil fuels will be a great benefit to plant and animal life on Earth.,4,9,t31,agrees,disagrees,neutral,neutral,disagrees,agrees,disagrees,disagrees,0.9970258083454626,0.0011815985892933,0.001792593065244,4_9_t31,-0.25
stance_climate_6,neutral,"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",5,4,s2,neutral,neutral,neutral,neutral,neutral,agrees,neutral,neutral,,,,5_4_s2,0.125
stance_climate_7,neutral,"Global warming, i.e. Climate Change, is not about environmental or politics.",2,4,t16,agrees,neutral,neutral,neutral,neutral,disagrees,agrees,neutral,0.1009076922970892,0.0766377263697958,0.822454581333115,2_4_t16,0.125
stance_climate_8,disagree,Is really led by grown-up global warming zealots.,5,0,t10,disagrees,disagrees,disagrees,neutral,disagrees,disagrees,disagrees,disagrees,0.995868312116134,0.0011040282717165,0.0030276596121492,5_0_t10,-0.875
stance_climate_9,agree,Countries would recognize the dangers of continuing to dig up and burn the worldâs fossil fuels.,4,4,t28,agrees,neutral,neutral,agrees,agrees,agrees,agrees,neutral,0.0027714545077137,0.8510513294097432,0.1461772160825432,4_4_t28,0.625
stance_climate_10,agree,We need to more or less immediately stop using or drastically curtail fossil fuels.,1,8,t7,agrees,agrees,agrees,neutral,neutral,neutral,agrees,agrees,0.002746029577291,0.8536397954051724,0.1436141750175366,1_8_t7,0.625
stance_climate_11,disagree,"The Earth probably last had this much carbon dioxide in the atmosphere at least a few million years ago, when sea levels are higher.",4,5,t10,disagrees,disagrees,agrees,neutral,disagrees,disagrees,agrees,neutral,0.6812040855235642,0.189304750543986,0.1294911639324499,4_5_t10,-0.25
stance_climate_12,neutral,There is a net loss of ice from Antarcticaâs ice sheets and glaciers.,4,6,t3,neutral,neutral,neutral,agrees,neutral,neutral,agrees,neutral,0.0014850836967456,0.0154082440175469,0.9831066722857074,4_6_t3,0.25
stance_climate_13,disagree,Global warming is a hoax.,5,6,s0,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,,,,5_6_s0,-1.0
