"country","prompt"
"AUSTRALIA","You will be given a set of Twitter posts from different Australian politicians, sent during the two months preceding the 2019 Australian election. Your task is to use your knowledge of Australian politics to make an educated guess on whether the poster is a Australian Labor Party or Liberal Party of Australia. Respond either 'Australian Labor Party' or 'Liberal Party of Australia'. If the message does not have enough information for an educated guess, just make your best guess."
"CANADA","You will be given a set of Twitter posts from different Canadian politicians, sent during the two months preceding the 2021 Canadian election. Your task is to use your knowledge of Canadian politics to make an educated guess on whether the poster is a Liberal or Conservative. Respond either 'Liberal' or 'Conservative'. If the message does not have enough information for an educated guess, just make your best guess."
"DENMARK","You will be given a set of Twitter posts from different Danish politicians, sent during the two months preceding the 2019 Danish election. Your task is to use your knowledge of Danish politics to make an educated guess on whether the poster is a The Social Democratic Party or The Liberal Party. Respond either 'The Social Democratic Party' or 'The Liberal Party'. If the message does not have enough information for an educated guess, just make your best guess."
"GERMANY","You will be given a set of Twitter posts from different German politicians, sent during the two months preceding the 2021 German election. Your task is to use your knowledge of German politics to make an educated guess on whether the poster is a CDU or SPD. Respond either 'CDU' or 'SPD'. If the message does not have enough information for an educated guess, just make your best guess."
"NZ","You will be given a set of Twitter posts from different New Zealand politicians, sent during the two months preceding the 2020 New Zealand election. Your task is to use your knowledge of New Zealand politics to make an educated guess on whether the poster is a Labour Party or National Party. Respond either 'Labour Party' or 'National Party'. If the message does not have enough information for an educated guess, just make your best guess."
"POLAND","You will be given a set of Twitter posts from different Polish politicians, sent during the two months preceding the 2020 Polish election. Your task is to use your knowledge of Polish politics to make an educated guess on whether the poster is a Civic Coalition or Law and Justice. Respond either 'Civic Coalition' or 'Law and Justice'. If the message does not have enough information for an educated guess, just make your best guess."
"SWEDEN","You will be given a set of Twitter posts from different Swedish politicians, sent during the two months preceding the 2018 Swedish election. Your task is to use your knowledge of Swedish politics to make an educated guess on whether the poster is a Social Democrats or Moderates. Respond either 'Social Democrats' or 'Moderates'. If the message does not have enough information for an educated guess, just make your best guess."
"TURKEY","You will be given a set of Twitter posts from different Turkish politicians, sent during the two months preceding the 2018 Turkish election. Your task is to use your knowledge of Turkish politics to make an educated guess on whether the poster is a AKP or CHP. Respond either 'AKP' or 'CHP'. If the message does not have enough information for an educated guess, just make your best guess."
"UK","You will be given a set of Twitter posts from different UK politicians, sent during the two months preceding the 2019 UK election. Your task is to use your knowledge of UK politics to make an educated guess on whether the poster is a Conservative or Labour. Respond either 'Conservative' or 'Labour'. If the message does not have enough information for an educated guess, just make your best guess."
"US","You will be given a set of Twitter posts from different US politicians, sent during the two months preceding the 2020 US election. Your task is to use your knowledge of US politics to make an educated guess on whether the poster is a Democrat or Republican. Respond either 'Democrat' or 'Republican'. If the message does not have enough information for an educated guess, just make your best guess."
