id,text,ground_truth,date,source,type
misinfo_0,Inhaling the steam of sea salt and orange peelings can prevent coronavirus infection.,Misinformation,2020-03-28,Facebook,covid
misinfo_1,The president of Ghana said that the coronavirus was created in a laboratory,Misinformation,2020-07-23,Facebook,covid
misinfo_2,Hydroxychloroquine (HCQ) was developed by an Indian scientist named Prafulla Chandra Ray.,Misinformation,2020-05-27,Facebook,covid
misinfo_3,"Wuhan Virology Laboratory is owned by pharmaceutical companies, Pfizer and Glaxo",Misinformation,2020-12-12,Facebook,covid
misinfo_4,Countries that use nivaquine (chloroquine) against malaria are not affected by coronavirus.,Misinformation,2020-03-25,Facebook,covid
misinfo_5,"The coronavirus pandemic is a hoax, which is proven by Germany's and Georgia's mortality figures for 2017-2020. According to these figures, the number of deaths for all causes is much lower in 2020 compared to the deaths reported in 2017-2019.",Misinformation,2021-01-13,Facebook,covid
misinfo_6,Gargling with warm salt water can cure from the coronavirus.,Misinformation,2020-03-20,Facebook,covid
misinfo_7,The WHO Director-General dances in a Brazilian bar during the lockdown.,Misinformation,2020-07-13,Facebook,covid
misinfo_8,Coronavirus is found in broiler chicken.,Misinformation,2020-02-10,Facebook,covid
misinfo_9,The Dettol disinfectant label says COVID-19 was tested.,Misinformation,2020-02-06,Facebook,covid
misinfo_10,Christine Lagarde says the elderly are living too long.,Misinformation,2020-03-16,Facebook,covid
misinfo_11,Panic scene in Germany with people rushing into a supermarket.,Misinformation,2020-03-11,Facebook,covid
misinfo_12,Criminals are handing out masks with chemicals to make people pass out in order to commit robbery.,Misinformation,2020-04-07,Facebook,covid
misinfo_13,Quito is the second city with the highest probability of infection.,Misinformation,2020-03-11,Facebook,covid
misinfo_14,"In Turkey, those who do not have disinfectants and masks in their private cars will be fined 3 thousand lira penalty.",Misinformation,2020-05-05,Facebook,covid
misinfo_15,Person infected with coronavirus bit a doctors jugular.,Misinformation,2020-01-28,Facebook,covid
misinfo_16,"Flu symptoms are the same as those of COVID-19. "" It also says that the ""deadly virus"" is actually an ""exosome"" and that deaths from other diseases are being ""reclassified"".",Misinformation,2020-04-27,Facebook,covid
misinfo_17,Italian doctors recommend taking off shoes when you get home.,Misinformation,2020-03-16,Facebook,covid
misinfo_18,The 13-year-old girl died because of the mandatory wearing masks.,Misinformation,2020-09-15,Facebook,covid
misinfo_19,CDC made a statement that medical masks are not effective.,Misinformation,2020-07-30,Facebook,covid
misinfo_20,123 countries have ordered the COVID-19 vaccine from Bharath Biotech,Misinformation,2021-01-28,Facebook,covid
misinfo_21,"A painting depicting children with face masks was created as a mural for the Denver airport in 1994, proving the COVID-19 pandemic was planned.",Misinformation,2020-07-06,Facebook,covid
misinfo_22,A text message states that Facebook would have taken advantage of the chaos created by COVID-19 to gain permission to use our personal pictures.,Misinformation,2020-06-04,Facebook,covid
misinfo_23,Steam from boiling oranges kills COVID-19.,Misinformation,2020-04-07,Facebook,covid
misinfo_24,Migrant labourers are being denied entry in Uttar Pradesh by the UP government.,Misinformation,2020-05-16,Facebook,covid
misinfo_25,Doctors confirm the novel coronavirus may arrive in Brazil through AliExpress packages.,Misinformation,2020-02-05,Facebook,covid
misinfo_26,A letter from Kenya's Ministry of Interior planning for food distribution and stating that the country would go into a three-week lockdown.,Misinformation,2020-03-31,Facebook,covid
misinfo_27,"George Soros is one of the people responsible for the new coronavirus, born in a laboratory.",Misinformation,2020-03-23,Facebook,covid
misinfo_28,Police publicly kill a coronavirus-infected woman in China.,Misinformation,2020-02-12,Facebook,covid
misinfo_29,Portuguese authorities decided that each citizen who goes to work must have an official authorization to leave home.,Misinformation,2020-04-02,Facebook,covid
misinfo_30,"Dolphins appeared in Veracruz, Mexico during the outbreak of the new coronavirus.",Misinformation,2020-04-13,Facebook,covid
misinfo_31,People are panicked about a COVID-19 case at the Dakar Airport.,Misinformation,2020-03-13,Facebook,covid
misinfo_32,A claim that 500 body bags were delivered to an ice skating rink outside the Australian city of Adelaide has been shared widely on Facebook during the novel coronavirus pandemic.,Misinformation,2020-03-27,Facebook,covid
misinfo_33,COVID-19 is treated with intravenous injections of vitamin C.,Misinformation,2020-03-18,Facebook,covid
misinfo_34,Jim Carrey said that virus has proved that the whole world can be manipulated through fear and the media.,Misinformation,2020-11-29,Facebook,covid
misinfo_35,United States has given the Ugandan government USD 25 million to pay every adult USD25 a month for 3 months.,Misinformation,2020-05-29,Facebook,covid
misinfo_36,A Bolivian doctor found the cure for the novel coronavirus.,Misinformation,2020-05-28,Facebook,covid
misinfo_37,Event 201 gave out stuffed souvenir coronavirus toys to commemorate novel coronavirus outbreak.,Misinformation,2020-01-27,Facebook,covid
misinfo_38,"Says for otherwise healthy people ""experiencing mild to moderate respiratory symptoms with or without a COVID-19 diagnosis  only high temperatures kill a virus, so let your fever run high,"" but not over 103 or 104 degrees F (39.5 degrees C).",Misinformation,2020-04-03,Facebook,covid
misinfo_39,COVID-19 is cured by gargling hot bicarbonate.,Misinformation,2020-06-23,Facebook,covid
misinfo_40,Pictures allegedly show Angela Merkel at a voting conference of her party CDU on July 7th without keeping distance,Misinformation,2020-07-07,Facebook,covid
misinfo_41,Sri Lankan President donates 7 months' salary for a COVID-19 fund.,Misinformation,2020-04-04,Facebook,covid
misinfo_42,"COVID-19 is the common flu, and the cure for coronavirus pneumonia is easy and cheap.",Misinformation,2020-05-31,Facebook,covid
misinfo_43,"Wearing a mask, the exhaled viruses will not be able to escape and will concentrate in the nasal passages, penetrate the olfactory nerves, and then transit to the brain.",Misinformation,2020-06-05,Facebook,covid
misinfo_44,Graphic shows that COVID-19 killed fewer people daily than other diseases.,Misinformation,2020-03-23,Facebook,covid
misinfo_45,"A claim that US scientist Charles Lieber was arrested for manufacturing and selling ""thecoronavirus to China"".",Misinformation,2020-04-04,Facebook,covid
misinfo_46,"The Gates Foundation ""has the patent for this coronavirus.""",Misinformation,2020-04-20,Facebook,covid
misinfo_47,"Swiss authorities have ""officially confirmed"" that the polymerase chain reaction (PCR) test used to diagnose novel coronavirus is ""fake""",Misinformation,2020-09-11,Facebook,covid
misinfo_48,Italy has mandated no treatment of all elderly patients for coronavirus.,Misinformation,2020-03-17,Facebook,covid
misinfo_49,A PPE shipment was destroyed at the Port of Dover after illegal immigrants were found travelling alongside it.,Misinformation,2020-05-05,Facebook,covid
misinfo_50,Karnataka Chief Minister attended H.D. Kumaraswamy's son's wedding amid nationwide lockdown.,Misinformation,2020-04-20,Facebook,covid
misinfo_51,Social distancing does not help in fighting coronavirus.,Misinformation,2020-07-06,Facebook,covid
misinfo_52,Levofloxacin is the first drug that cures coronavirus,Misinformation,2020-11-16,Facebook,covid
misinfo_53,"Italian Prime Minister Giuseppe Conte said, ""We have lost control, we have killed the epidemic physically and mentally. Can't understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the sky. God, rescue your people.""",Misinformation,2020-03-22,Facebook,covid
misinfo_54,Martial law is imminent in United States.,Misinformation,2020-03-19,Facebook,covid
misinfo_55,"Few people are infected with the new coronavirus, so one should not be afraid of it.",Misinformation,2020-04-05,Facebook,covid
misinfo_56,People sneezing purposefully to spread coronavirus at Hazrat Nizamuddin mosque in Delhi.,Misinformation,2020-04-01,Facebook,covid
misinfo_57,Celebrities and politicians attended an event at the home of an Indian billionaire and breached social distancing regulations during the coronavirus pandemic.,Misinformation,2020-12-29,Facebook,covid
misinfo_58,Reiner Fuellmich's claims on PCR testing is useless and COVID  19 mortality is similar to that of the seasonal flu.,Misinformation,2020-10-12,Facebook,covid
misinfo_59,"The use of masks causes us to inhale the carbon dioxide we breathe and to ""poison the lungs"".",Misinformation,2020-06-29,Facebook,covid
misinfo_60,"Doctors say treating patients with corticosteroids is the official cure for coronavirus. During an interview for a television channel, a doctor from So Paulo describes the procedure.",Misinformation,2020-04-22,Facebook,covid
misinfo_61,You should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy.,Misinformation,2020-04-22,Facebook,covid
misinfo_62,The first coronavirus case in North Macedonia was a well-known fashion designer.,Misinformation,2020-03-04,Facebook,covid
misinfo_63,There is a court decision that allows serving customers without masks.,Misinformation,2020-08-04,Facebook,covid
misinfo_64,Uganda did not deport 19 passengers from high-risk COVID-19 countries.,Misinformation,2020-03-11,Facebook,covid
misinfo_65,"COVID-19 is a plot introduced by the Gates, Soros, and the Rothschilds families. Their criminal intentions to destroy the healthcare system is hidden into the UN's Sustainable Development Goals.",Misinformation,2020-06-30,Facebook,covid
misinfo_66,On August 29th four million people gathered in Berlin to protest the government's Covid-19 measures,Misinformation,2020-08-29,Facebook,covid
misinfo_67,Melon and orange are effective medicines against COVID-19.,Misinformation,2020-07-02,Facebook,covid
misinfo_68,Increasing social contact makes the coronavirus weaker.,Misinformation,2020-07-02,Facebook,covid
misinfo_69,"""An entire family"" in Santolan, Pasig, is ""confirmed to be infected"" with the novel coronavirus, according to what looked like a breaking news graphic from GMA News.",Misinformation,2020-03-09,Facebook,covid
misinfo_70,COVID-19 is not new and an old textbook gives out its treatment.,Misinformation,2020-06-05,Facebook,covid
misinfo_71,"Despite the COVID-19 pandemic, the total number of deaths in Brazil decreased, rather than increased, when we compare the months of April 2019 and April 2020. This statement is backed by the national Civil Registry data.",Misinformation,2020-05-08,Facebook,covid
misinfo_72,This picture showing lots of coffins was taken in Bergamo in 2020.,Misinformation,2020-03-18,Facebook,covid
misinfo_73,"A Russian drug called Arbidol, cures coronavirus.",Misinformation,2020-03-19,Facebook,covid
misinfo_74,South Korea's Prime Minister threatened to arrest citizens who refuse to receive a Covid-19 vaccination. T,Misinformation,2021-02-17,Facebook,covid
misinfo_75,Palm oil is a simple cure for the coronavirus.,Misinformation,2020-05-13,Facebook,covid
misinfo_76,"There is already a vaccine for coronavirus, created in the U.S.",Misinformation,2020-04-03,Facebook,covid
misinfo_77,"2,000 people died of COVID-19 on 3/15/20 in France.",Misinformation,2020-03-17,Facebook,covid
misinfo_78,"PCR tests cause ""damage to the blood-brain barrier""",Misinformation,2020-08-14,Facebook,covid
misinfo_79,"A publication on the purchase of respirators by the Province of Buenos Aires. According to the publication, the Buenos Aires government would buy respirators from China for 10 million dollars,",Misinformation,2020-05-02,Facebook,covid
misinfo_80,A Covid vaccine was transported in an OBI box although it should be cooled at minus 70 degrees,Misinformation,2020-12-31,Facebook,covid
misinfo_81,"A recipe with lemon, ginger, onion and garlic can cure the coronavirus.",Misinformation,2020-04-29,Facebook,covid
misinfo_82,Drinking water in which garlic was boiled will cure you from COVID-19.,Misinformation,2020-03-12,Facebook,covid
