id,ground_truth,text,index,Community,Id,Timestamp,UserId,Reputation,Upvotes,Downvotes,meta.Normalized Score,meta.Annotations,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Score1_normalized,Score2_normalized,Score3_normalized,Score4_normalized,Score5_normalized,Score1_binarized,Score2_binarized,Score3_binarized,Score4_binarized,Score5_binarized
politeness_stack_0,polite,How are `g_rx_buffer` and `BYTE` defined?  What compiler are you using?,110,092011 Stack Overflow,4402067,2010-11-03-21:54:45,79566.0,12487.0,637.0,23.0,0.4400204379361049,"{'A3E157ZN8XPUKJ': np.int64(21), 'A3OW54MEVDKXJL': np.int64(17), 'A3MMLCBV2W3BP9': np.int64(13), 'A125P73OQSRNI5': np.int64(17), 'A39FH0T1NKKMVO': np.int64(15)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21,17,13,17,15,A3E157ZN8XPUKJ,A3OW54MEVDKXJL,A3MMLCBV2W3BP9,A125P73OQSRNI5,A39FH0T1NKKMVO,1.732653233284142,0.7065323251861421,-0.2974650454040183,0.6403301986735411,0.0854347698047377,1,1,0,1,0
politeness_stack_1,polite,"In numpy, your array is 2 x 5, isn't it? And am I understanding that you want to extract a column slice as a column matrix, rather than a vector?",1394,092011 Stack Overflow,7066486,2011-05-23-11:12:57,681865.0,6460.0,70.0,69.0,0.643263818366964,"{'A1UIH2IMG9DV95': np.int64(21), 'A1K8E2E0HHRZ4S': np.int64(12), 'A2TK0FA154PHP0': np.int64(17), 'AO3XB5I5QNNUI': np.int64(13), 'A1F4D2PZ7NNWTL': np.int64(16)}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,12,17,13,16,A1UIH2IMG9DV95,A1K8E2E0HHRZ4S,A2TK0FA154PHP0,AO3XB5I5QNNUI,A1F4D2PZ7NNWTL,1.732653233284142,-0.4697152022214765,0.6735702752251912,-0.2703585745409097,0.2949911535419905,1,-1,1,0,0
politeness_stack_2,impolite,"What do you mean by ""will take an arbitrary number""? Do you think about some input (from user or file) or some other way?",2501,092011 Stack Overflow,3587565,2010-08-09-17:58:53,19939.0,3064.0,640.0,1.0,-0.7779645267942229,"{'A1BS64O3JY0YJ4': np.int64(12), 'A233ONYNWKDIYF': np.int64(9), 'A3MMLCBV2W3BP9': np.int64(11), 'A3EJ5TT2ZGBIDA': np.int64(11), 'A1M1T2EF4Y2IW8': np.int64(9)}",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,9,11,11,9,A1BS64O3JY0YJ4,A233ONYNWKDIYF,A3MMLCBV2W3BP9,A3EJ5TT2ZGBIDA,A1M1T2EF4Y2IW8,-0.3672872903300914,-1.1754637186660477,-0.7829827057186232,-0.7257029611481352,-1.1719035326187786,-1,-1,-1,-1,-1
politeness_stack_3,impolite,"@Unreason, yes its not an natural thing to grasp, simply put: Possible Haiku combination = Infinite; Number of Monkeys OR Time required to produce said Infinite Hakim = NOT possible, as in order to generate those Infinite Haiku's you would need a greater than Infinite amount of time Or GREATER THAN infinite amount of monkeys. Now do you see the contradiction?",3223,092011 Stack Overflow,3395852,2010-07-19-12:42:52,150363.0,1394.0,104.0,7.0,-0.8601958307447514,"{'ACQ5ARKNBGZKY': np.int64(5), 'A3DGKW5JY87RCH': np.int64(7), 'A39FH0T1NKKMVO': np.int64(10), 'A2GSW5RBAT5LQ5': np.int64(14), 'AFHAH1BIN51GI': np.int64(14)}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,7,10,14,14,ACQ5ARKNBGZKY,A3DGKW5JY87RCH,A39FH0T1NKKMVO,A2GSW5RBAT5LQ5,AFHAH1BIN51GI,-2.000574364252273,-1.645962729629095,-1.0257415358759254,-0.042686381237297,-0.1241216139325149,-1,-1,-1,0,0
politeness_stack_4,impolite,You are not talking about the **old** share button right? can you provide us the *other* blogs that have this special like plugin?,428,092011 Stack Overflow,6013844,2011-03-16-16:15:22,337227.0,10350.0,156.0,31.0,-0.5524534178806857,"{'A3RP70I4XDGOIS': np.int64(14), 'A2Y2ZBYDK9ZMEB': np.int64(9), 'A1G9ZIBMV5PLE2': np.int64(10), 'A1UZ2DD6L6DGHT': np.int64(13), 'A3TXO6RKFIDFUV': np.int64(15)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14,9,10,13,15,A3RP70I4XDGOIS,A2Y2ZBYDK9ZMEB,A1G9ZIBMV5PLE2,A1UZ2DD6L6DGHT,A3TXO6RKFIDFUV,0.0993661593619604,-1.1754637186660477,-1.0257415358759254,-0.2703585745409097,0.0854347698047377,0,-1,-1,0,0
politeness_stack_5,impolite,"It looks like you will have the device powered for most of the time that you have valid data. Isn't a battery backup-ed SRAM more appropriate than an EEPROM (or better, Flash) then?",4967,092011 Electrical Engineering,24994,2011-06-17-11:00:08,3920.0,926.0,597.0,52.0,-0.4989086098995517,"{'A23312XQ2AQ91W': np.int64(20), 'A3E157ZN8XPUKJ': np.int64(13), 'ARYGQ46IMW8AU': np.int64(15), 'A2FNOKJNY7E5WP': np.int64(2), 'A28TXBSZPWMEU9': np.int64(13)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20,13,15,2,13,A23312XQ2AQ91W,A3E157ZN8XPUKJ,ARYGQ46IMW8AU,A2FNOKJNY7E5WP,A28TXBSZPWMEU9,1.499326508438116,-0.2344656967399527,0.1880526149105864,-2.7747527008806494,-0.3336779976697677,1,0,0,-1,0
politeness_stack_6,impolite,"Okay. If something about the Camelbak bladders is better, could someone who has a basis for comparison please note that?",4207,092011 Bicycles,622,2010-09-04-18:07:18,8.0,6334.0,1102.0,174.0,-1.0073587618986128,"{'AO3XB5I5QNNUI': np.int64(1), 'A3RLCGRXA34GC0': np.int64(11), 'A23312XQ2AQ91W': np.int64(15), 'A1KC138MX47DXA': np.int64(12), 'A2UFD1I8ZO1V4G': np.int64(13)}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,11,15,12,13,AO3XB5I5QNNUI,A3RLCGRXA34GC0,A23312XQ2AQ91W,A1KC138MX47DXA,A2UFD1I8ZO1V4G,-2.9338812636363767,-0.7049647077030002,0.1880526149105864,-0.4980307678445224,-0.3336779976697677,-1,-1,0,-1,0
politeness_stack_7,impolite,@I Never Finish Anythi madness would be great Fun. How do I get infested by madness?,5149,092011 Gaming,1651,2010-07-14-22:39:06,39.0,1865.0,242.0,2.0,-2.533113509493424,"{'A3E157ZN8XPUKJ': np.int64(1), 'A3TS7FYF27E59U': np.int64(4), 'A2UFD1I8ZO1V4G': np.int64(9), 'A28TXBSZPWMEU9': np.int64(9), 'A13HSR88OUNIVP': np.int64(9)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,4,9,9,9,A3E157ZN8XPUKJ,A3TS7FYF27E59U,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A13HSR88OUNIVP,-2.9338812636363767,-2.351711246073666,-1.268500366033228,-1.181047347755361,-1.1719035326187786,-1,-1,-1,-1,-1
politeness_stack_8,impolite,You parsed XML using JSON parsing? Why???,3316,092011 Stack Overflow,1769531,2009-12-09-04:19:50,2648.0,21740.0,803.0,198.0,-0.7562825160033122,"{'A2UFD1I8ZO1V4G': np.int64(9), 'A17G2LOYX7WQZ': np.int64(19), 'A3DGKW5JY87RCH': np.int64(7), 'A2BKPNKU3EG41Z': np.int64(16), 'A312BVGKE6BAS5': np.int64(8)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,19,7,16,8,A2UFD1I8ZO1V4G,A17G2LOYX7WQZ,A3DGKW5JY87RCH,A2BKPNKU3EG41Z,A312BVGKE6BAS5,-1.0672674648681693,1.1770313361491895,-1.7540180263478329,0.4126580053699284,-1.3814599163560313,-1,1,-1,0,-1
politeness_stack_9,impolite,"Your Frequently Asked Question is answered in the very first sentence: ""perldoc -q match"" --> ""I'm having trouble matching over more than one line.  What's wrong?""",1032,092011 Stack Overflow,6740294,2011-05-03-00:27:32,579432.0,1763.0,234.0,46.0,-0.636835596160147,"{'A3OW54MEVDKXJL': np.int64(9), 'A125P73OQSRNI5': np.int64(9), 'AD1IH74UX9IAI': np.int64(9), 'A39FH0T1NKKMVO': np.int64(15), 'A321FJYVTX5WP9': np.int64(17)}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,9,9,15,17,A3OW54MEVDKXJL,A125P73OQSRNI5,AD1IH74UX9IAI,A39FH0T1NKKMVO,A321FJYVTX5WP9,-1.0672674648681693,-1.1754637186660477,-1.268500366033228,0.1849858120663157,0.5045475372792433,-1,-1,-1,0,1
