id,ground_truth,original_id_and_wave
issue_survey_0,Asylum,id_8601.0_wave_2
issue_survey_1,Asylum,id_7609.0_wave_9
issue_survey_2,Asylum,id_20738.0_wave_22
issue_survey_3,Asylum,id_7609.0_wave_14
issue_survey_4,Asylum,id_62206.0_wave_10
issue_survey_5,Asylum,id_50930.0_wave_23
issue_survey_6,Asylum,id_41395.0_wave_7
issue_survey_7,Asylum,id_56304.0_wave_8
issue_survey_8,Asylum,id_97128.0_wave_24
issue_survey_9,Asylum,id_50930.0_wave_24
issue_survey_10,Asylum,id_39962.0_wave_4
issue_survey_11,Asylum,id_27463.0_wave_8
issue_survey_12,Asylum,id_16432.0_wave_24
issue_survey_13,Asylum,id_4547.0_wave_22
issue_survey_14,Asylum,id_16508.0_wave_23
issue_survey_15,Asylum,id_25745.0_wave_25
issue_survey_16,Asylum,id_14134.0_wave_3
issue_survey_17,Asylum,id_9446.0_wave_25
issue_survey_18,Asylum,id_102264.0_wave_22
issue_survey_19,Asylum,id_66444.0_wave_12
issue_survey_20,Asylum,id_53019.0_wave_25
issue_survey_21,Asylum,id_26262.0_wave_7
issue_survey_22,Asylum,id_30544.0_wave_8
issue_survey_23,Asylum,id_25366.0_wave_2
issue_survey_24,Austerity,id_11698.0_wave_13
issue_survey_25,Austerity,id_7249.0_wave_11
issue_survey_26,Austerity,id_7126.0_wave_6
issue_survey_27,Austerity,id_22387.0_wave_4
issue_survey_28,Austerity,id_12274.0_wave_6
issue_survey_29,Austerity,id_9438.0_wave_8
issue_survey_30,Austerity,id_19211.0_wave_6
issue_survey_31,Austerity,id_6201.0_wave_3
issue_survey_32,Austerity,id_23318.0_wave_13
issue_survey_33,Austerity,id_25198.0_wave_18
issue_survey_34,Austerity,id_1806.0_wave_4
issue_survey_35,Austerity,id_20825.0_wave_14
issue_survey_36,Austerity,id_2342.0_wave_9
issue_survey_37,Austerity,id_19966.0_wave_5
issue_survey_38,Austerity,id_7338.0_wave_3
issue_survey_39,Austerity,id_5948.0_wave_4
issue_survey_40,Austerity,id_17396.0_wave_5
issue_survey_41,Austerity,id_6049.0_wave_10
issue_survey_42,Austerity,id_11423.0_wave_3
issue_survey_43,Austerity,id_13877.0_wave_6
issue_survey_44,Austerity,id_21996.0_wave_1
issue_survey_45,Austerity,id_15416.0_wave_4
issue_survey_46,Austerity,id_7626.0_wave_2
issue_survey_47,Austerity,id_20782.0_wave_6
issue_survey_48,Austerity,id_26885.0_wave_5
issue_survey_49,Austerity,id_10749.0_wave_7
issue_survey_50,Austerity,id_5381.0_wave_9
issue_survey_51,Austerity,id_18616.0_wave_12
issue_survey_52,Austerity,id_6279.0_wave_6
issue_survey_53,Austerity,id_18212.0_wave_4
issue_survey_54,Austerity,id_30006.0_wave_16
issue_survey_55,Austerity,id_3511.0_wave_13
issue_survey_56,Austerity,id_7026.0_wave_6
issue_survey_57,Austerity,id_3408.0_wave_6
issue_survey_58,Austerity,id_13607.0_wave_6
issue_survey_59,Austerity,id_14485.0_wave_14
issue_survey_60,Austerity,id_24240.0_wave_1
issue_survey_61,Austerity,id_26286.0_wave_7
issue_survey_62,Austerity,id_26845.0_wave_2
issue_survey_63,Austerity,id_27535.0_wave_10
issue_survey_64,Austerity,id_317.0_wave_18
issue_survey_65,Austerity,id_24500.0_wave_1
issue_survey_66,Austerity,id_24849.0_wave_9
issue_survey_67,Austerity,id_13461.0_wave_4
issue_survey_68,Austerity,id_5252.0_wave_4
issue_survey_69,Austerity,id_27548.0_wave_5
issue_survey_70,Austerity,id_7623.0_wave_3
issue_survey_71,Austerity,id_17617.0_wave_4
issue_survey_72,Austerity,id_16959.0_wave_5
issue_survey_73,Austerity,id_17617.0_wave_2
issue_survey_74,Austerity,id_21786.0_wave_11
issue_survey_75,Austerity,id_3076.0_wave_4
issue_survey_76,Austerity,id_447.0_wave_8
issue_survey_77,Austerity,id_29545.0_wave_19
issue_survey_78,Austerity,id_2517.0_wave_10
issue_survey_79,Austerity,id_4787.0_wave_12
issue_survey_80,Austerity,id_61668.0_wave_10
