id,text,label,senate,democrat,ideology,ground_truth
topic_0,"A bill to give effect to the convention between the United States of America and the Republic of Costa. Rica for the establishment of an InterAmerican Tropical Tuna Commission, signed at Washington May 31, 1949",International Affairs,1,0,0.224,False
topic_1,A bill to amend the Internal Revenue Code of 1954 so as to exempt from the retailers excise taxes imposed on jewelry and related items silver-plated hollowware sold for use in the trade or business of the purchaser.,Macroeconomics,1,0,0.187,True
topic_2,A bill to amend the Internal Revenue Code of 1954 to extend the period for making tax-free rollovers of certain distributions from qualified plans from 60 to 90 days.,Macroeconomics,0,0,0.282,True
topic_3,To provide for reconciliation pursuant to sections 103(b)(2) and 213(b)(2)(C) of the concurrent resolution on the budget for fiscal year 2001 to reduce the public debt and to decrease the statutory limit on the public debt.,Macroeconomics,0,0,0.368,True
topic_4,A bill to establish corporate income tax rates of 22 percent normal tax and 81 percent surtax,Macroeconomics,1,1,-0.186,True
topic_5,"To provide for continuity and support of study, research, and development of programs for peaceful uses in science, commerce, and other activities related to Antarctica, which shall Include, but shall not be limited to, gathering, evaluating, correlating,",International Affairs,0,0,0.17,False
topic_6,To repeal the Impoundment Control Act of 1974.,Macroeconomics,0,0,0.827,True
topic_7,A bill to regulate the exchange of criminal justice information.,Law and Crime,0,0,0.201,False
topic_8,To eliminate the requirement that veterans have served for 90 days or . more to qualify for certain benefits under laws administered by the Veterans Administration.,Defense,0,1,-0.147,False
topic_9,A bill to amend the Internal Revenue Code of 1954 to make certain changes in the carryover basis provisions which were added by the Tax Reform Act of 1976.,Macroeconomics,0,1,-0.305,True
topic_10,A bill to provide for the deduction from gross income for incometax purposes of expenses incurred by farmers in building roads,Macroeconomics,1,0,0.609,True
topic_11,"To direct the Director of the Office of Defense Mobilization to conduct a particular survey in order to assist in promoting the production of concentrated iron ore and steel, and for other purposes.",Defense,0,0,0.307,False
topic_12,"A bill to amend title 28, United States Code, to move the place for holding court for the District Court for the Eastern District of New York to Brooklyn and Hempstead, and for other purposes.",Law and Crime,0,0,0.234,False
topic_13,"A bill to amend the Federal Rules of Civil Procedure with respect to certain service of process by mail, and for other purposes.",Law and Crime,0,1,-0.599,False
topic_14,"A bill to amend the Congressional Budget and Impoundment Control of 1974 to reform the budget process, and for other purposes.",Macroeconomics,1,0,0.455,True
topic_15,To remove the defense of limita tion of liability as one of the defenses of the United States in the court proceed ings arising out of the collision of the U.S.S. Yancey with the Chesapeake Bay Bridge-Tunnel,Law and Crime,0,0,0.2,False
topic_16,To amend the Internal Revenue Code of 1986 to provide individual income tax rate reductions and to repeal the phaseouts of the deduction for personal exemptions and of itemized deductions.,Macroeconomics,0,0,0.817,True
topic_17,"Authorizing the transfer to the United States Section, International Boundary and Water Commission, by the War Assets Administration of a portion of Fort McIntosh at Laredo, Tex., and certain personal property in connection therewith, without exchange of ",Defense,0,1,0.288,False
topic_18,"To provide for the expansion of the Beverly National Cemetery in or rear Beverly, Burlington County, N.J",Defense,0,1,-0.31,False
topic_19,"A bill to amend section 2310 of title 10 of the United States Code, relating to determinations and decisions as to procurement.",Defense,1,1,-0.083,False
topic_20,To provide additional compensation for enlisted men and certain officers of the Armed Forces during periods of certain ground combat duty,Defense,0,1,0.024,False
topic_21,"A bill to amend the Internal Revenue Code of 1986 to provide for the deductibility of charitable contributions to agricultural research organizations, and for other purposes.",Macroeconomics,1,1,-0.362,True
topic_22,"A bill to amend chapters 2 and 21 of the Internal Revenue Code of 1954, and title II of the Social Security Act, to reduce social security tax rates and provide a new method for their determination in the future, to remove the dollar limitation presently ",Macroeconomics,1,1,-0.437,True
topic_23,To amend title 38 of the United States Code to give certain persons who are eligible for dependency and indemnity compensation the option to elect to receive in lieu thereof death compensation under chapter 11 of that title,Defense,0,1,0.08,False
topic_24,To amend the Internal Revenue Code of 1986 to modify the taxation of hard cider.,Macroeconomics,0,1,-0.506,True
topic_25,A bill to amend title 18 of the United States Code to provide penalties for certain activities relating to the taking of children by parents from legal custodians.,Law and Crime,0,0,0.129,False
topic_26,A bill to amend the Internal Revenue Code of 1954 to require that an annual report on the effects of inflation (or deflation) on the Federal income tax be transmitted to the Congress.,Macroeconomics,0,0,0.246,True
topic_27,To create W Czechoslovakian Claims Fund to settle claims of certain United States nationals against Czechoslovakia.,International Affairs,0,0,0.183,False
topic_28,"A bill to authorize appropriations for fiscal year 1986 for the operation and maintenance of the Panama Canal, and for other purposes.",International Affairs,0,1,-0.427,False
topic_29,"To authorize the appropriation of $4,404,000 as an ex gratis payment to the city of New York to assist in defraying the extraordinary and unprecedented expenses incurred during the Fifteenth General Assembly of the United Nations",International Affairs,0,0,-0.182,False
topic_30,To amend the Internal Revenue Code of 1954 to repeal the excise tax on electric or gas clothes driers and electric mangles,Macroeconomics,0,1,-0.26,True
topic_31,"A bill to amend section 4232 (b) of the Internal Revenue Code of 1954 to provide that certain places where no instrumental music is provided shall not, be treated as cabarets",Macroeconomics,1,0,0.056,True
topic_32,"A bill to provide additional authorization of appropriations for certain programs for fiscal year 1984, and each of the four following fiscal years.",Macroeconomics,1,0,0.147,True
topic_33,"A bill to amend section 14(b) of the Federal Reserve Act, as amended, to extend for five years the authority of Federal Reserve banks to purchase U.S. obligations directly from the Treasury.",Macroeconomics,1,1,-0.491,True
topic_34,"A bill to amend chapter 44 of title 18, United States Code, to strengthen the penalty provision applicable to a Federal felony committed with a firearm",Law and Crime,0,0,0.18,False
topic_35,"A bill to amend the Internal Revenue Code to change certain accounting rules related to inventory, and for other purposes.",Macroeconomics,0,1,-0.081,True
topic_36,"To authorize the Secretary of Defense to establish and conduct an effective program of research and development to increase the effectiveness of the measures for the protection of the civil population of the United States in the event of military attack, ",Defense,0,0,0.209,False
topic_37,"To amend the Internal Revenue Code of 1954 to make extensive reforms in the income tax law, with emphasis on reforms which will be of particular benefit to middle- and low-income Individuals and families",Macroeconomics,0,1,-0.29,True
topic_38,"To increase the personal tax exemptions of a single taxpayer or head of household from $600 to $1,200",Macroeconomics,0,1,0.078,True
topic_39,"To amend the Internal Revenue Code of 1986 to provide for a nonrefundable tax credit for law enforcement officers who purchase armor vests, and for other purposes.",Law and Crime,0,0,0.702,False
topic_40,"A bill to provide for the cooperation between the Armed Services and local, State and Federal law enforcement officials.",Law and Crime,0,1,-0.081,False
topic_41,"To amend the Tax Reform Act of 1986 to correct technical errors in the description of certain projects located in Kenosha, Wisconsin.",Macroeconomics,0,1,-0.333,True
topic_42,"To provide for review of military and naval records in World War I, and issue of decorations, medals, and awards in deserving cases",Defense,0,0,0.501,False
topic_43,To amend section 3441 of the Internal Revenue Code,Macroeconomics,0,0,0.422,True
topic_44,Concerning democracy and human rights in the People's Republic of China and Tibet.,International Affairs,0,0,0.045,False
topic_45,"To permit the deduction, for Federal income tax purposes, of contributions or gifts to the Alabama Temperance Alliance, Inc",Macroeconomics,0,1,-0.245,True
topic_46,To amend the Congressional Budget Act of 1974.,Macroeconomics,0,0,0.616,True
topic_47,"To amend title 31, United States Code, to authorize the Secretary of the Treasury to manage the cash position of the United States Government whenever it is unable to borrow sufficient funds to meet its needs.",Macroeconomics,0,0,0.552,True
topic_48,To amend section 3237 of title 18 of the United States Code to define the place at which certain offenses against the income tax laws take place.,Macroeconomics,0,1,-0.067,True
topic_49,A bill to amend the Internal Revenue Code (as it pertains to accumulated taxable corporate income) to provide for an increase in the accumulated earnings credit.,Macroeconomics,0,0,0.184,True
topic_50,"To provide the President with enhanced rescission authority at such time as the debt of the United States Government held by the public reaches $2,378,000,000,000.",Macroeconomics,0,0,0.373,True
topic_51,To authorize distribution within the United States of the United States Information Agency film entitled A Tribute to Mickey Leland.,International Affairs,0,1,-0.711,False
topic_52,To amend the Internal Revenue Code of 1986 to impose a 50 percent tax on bonuses paid by TARP recipients.,Macroeconomics,0,1,-0.474,True
topic_53,"To amend the Internal Revenue Code of 1986 to provide for parent savings accounts, and for other purposes.",Law and Crime,0,0,0.196,False
topic_54,A bill to amend the Federal Reserve Act to require that detailed minutes of Federal Open Market Committee meetings shall be published on a deferred basis.,Macroeconomics,0,1,-0.633,True
topic_55,"A bill to provide for participation by the United States in a capital increase of the Inter-American Development Bank, and for other purposes.",International Affairs,1,1,-0.388,False
topic_56,A bill to repeal the limitation on the use of foreign tax credits under the alternative minimum tax.,Macroeconomics,1,0,0.177,True
topic_57,"A bill to amend section 1751 of title 18, United States Code, dealing with Presidential assassination, kidnapping, and assault.",Law and Crime,1,0,0.406,False
topic_58,To amend section 1231 of the Internal Revenue Code of 1954,Macroeconomics,0,1,-0.174,True
topic_59,A bill to amend the Internal Revenue Code of 1954 to provide a partial interest exclusion for taxable years beginning in 1983 or 1984.,Macroeconomics,1,0,0.016,True
topic_60,"A bill to amend the Economic Stabilization Act of 1970, to stabilize rents at levels prevailing on January 10, 1973, and for other purposes.",Macroeconomics,0,1,-0.294,True
topic_61,A bill relating to the nullification of certain criminal records,Law and Crime,1,1,-0.351,False
topic_62,"A bill to provide that the United States District Court for the judicial district of New Jersey shall be held at Hackensack, New Jersey, in addition to those places currently provided by law.",Law and Crime,0,0,-0.084,False
topic_63,"To achieve a balanced Federal budget by fiscal year 1998 and each year thereafter, achieve significant deficit reduction in fiscal year 1993 and each year through 1998, establish a Board of Estimates, require the President's budget and the congressional budget process to meet specified deficit reduction and balance requirements, enforce those requirements through a multiyear congressional budget process and, if necessary, sequestration, and for other purposes.",Macroeconomics,0,1,-0.32,True
topic_64,To exempt from the Federal amusement tax all admissions charged to fairs,Macroeconomics,0,1,0.194,True
topic_65,"To establish a multilateral process of political and economic reform for Eastern Europe and the Soviet Union, to remove various trade restrictions, to encourage peaceful resolutions of regional conflicts, and to set a goal of a 50 percent reduction in United States military spending.",International Affairs,0,1,-0.36,False
topic_66,"To amend the Internal Revenue Code of 1954 to provide that the deduction for expenses paid for care of dependents shall be fully available to both male and female taxpayers without regard to their marital status, and to increase the dollar limits on such deductions",Macroeconomics,0,1,-0.6,True
topic_67,"To provide for the conveyance of a portion of Hammer Field, Calif., to the State of California",Defense,0,1,-0.347,False
topic_68,"A bill to promote the foreign policy of the United States through the maintenance of commercial, cultural, and other relations with the people of Taiwan on an unofficial basis, and for other purposes.",International Affairs,0,1,-0.37,False
topic_69,A bill to amend the Internal Revenue Code of 1986 to amend certain expiring provisions.,Macroeconomics,1,1,-0.201,True
topic_70,"A bill to establish a program, to be known as the ADEPT Program, for the provision of international assistance in the deployment of energy and energy-related environmental practices and technologies, and for other purposes.",International Affairs,1,0,0.233,False
topic_71,To provide tax relief to the local union 377 pension fund and the contributors thereto,Macroeconomics,0,1,-0.526,True
topic_72,"A bill to provide for a temporary increase in the public debt limit, and to amend the Rules of the House of Representatives to make possible the establishment of the public debt limit in the future as a part of the congressional budget process.",Macroeconomics,0,1,-0.335,True
topic_73,A bill to amend the Internal Revenue Code of 1954 to clarify the treatment of outdoor advertising displays for purposes of the accelerated cost recovery system.,Macroeconomics,0,1,-0.18,True
topic_74,A bill to amend the Congressional Budget and Impoundment Control Act of 1974 by establishing a Legislative Classification System within the Congressional Budget Office.,Macroeconomics,0,0,0.043,True
topic_75,To direct the Secretary of Defense to provide grants to States to provide technical and financial assistance to defense-dependent contractors.,Defense,0,1,-0.432,False
topic_76,"To prevent funding provided through the Federal Reserve System from being made available to corporations that finance political campaigns or political propaganda, and for other purposes.",Macroeconomics,0,1,-0.383,True
topic_77,A bill the Panama Canal Act of 1979 to protect American taxpayers and consumers.,International Affairs,0,0,0.639,False
topic_78,To authorize the payment of additional compensation to special assistants to the Attorney General in the case of the United States against Doheny Executors,Law and Crime,0,1,-0.646,False
topic_79,A bill to amend the Internal Revenue Code of 1986 to extend and expand relief from the alternative minimum tax and to repeal the extension of the lower rates for capital gains and dividends for 2009 and 2010.,Macroeconomics,1,1,-0.414,True
topic_80,"A bill to provide for the prevention of crime, and for other purposes.",Law and Crime,1,0,0.026,False
topic_81,A bill relating to the foreign tax credit under section 901 of the Internal Revenue Code of 1954 in the case of International Standard Electric Corp.,Macroeconomics,1,0,0.324,True
topic_82,A bill to require passport applicants to swear to an oath of allegiance to the United States as a condition precedent to being granted a passport.,International Affairs,0,1,-0.175,False
topic_83,"To increase the normal tax and surtax exemption, and the exemption for dependents, from $600 to $700.",Macroeconomics,0,1,-0.309,True
topic_84,"To amend Public Law 503, 84th Congress, so as to provide annuities for the widows of certain foreign service officers who retired prior to the effective date of the Federal Employees Group Life Insurance Act of 1954",International Affairs,0,1,-0.132,False
topic_85,A bill to restore the value of the dollar and restrain inflation by providing for a Federal budget in which expenditures shall not exceed Federal revenues.,Macroeconomics,1,0,0.593,True
topic_86,A bill to amend the Internal Revenue Code of 1954 to allow certain married individuals who file separate returns to be taxed as unmarried individuals.,Macroeconomics,0,0,0.057,True
topic_87,A bill to amend the Internal Revenue Code of 1954 to repeal the Family Rental Tax.,Macroeconomics,0,0,0.259,True
topic_88,"A bill to amend title 38, United States Code, to provide for disbursement of unused chapter 32 contributions upon the death of the participant.",Defense,0,1,-0.167,False
topic_89,"To amend the State Department Basic Authorities Act of 1956 to increase the maximum amount of an award paid under the Department of State rewards program in connection with the attacks on the United States on September 11, 2001, and for other purposes.",International Affairs,0,0,0.439,False
topic_90,"To limit the giving away of the money and property of the United States to foreign governments in time of peace, and for other purposes",International Affairs,0,0,0.693,False
topic_91,To amend Veterans Regulation No. 9(a) to provide for payment of not in excess of $75 to cover the cost of acquisition of a burial site for certain deceased veterans,Defense,0,1,-0.339,False
topic_92,"To provide for the transfer of an existing United States memorial erected under the auspices of The American Legion, Inc., for use and benefit of all American officers and enlisted personnel who served in World War I to the Department of Veterans Affairs, and for other purposes.",Defense,0,1,-0.026,False
topic_93,To waive the arbitrage rules for certain bonds issued in 1990 and partially defeased in 1996.,Macroeconomics,0,0,0.77,True
topic_94,To amend the Internal Revenue Code of 1954 to provide that an election to be treated as a subchapter S corporation may be valid for subsequent years although not initially effective,Macroeconomics,0,1,-0.009,True
