id,ground_truth,text,status_id,user_id,screen_name,created_at,relevant_paula,relevant_fabio,frame_paula,frame_fabio,relevance_agreement_check,relevant_ra,mturk_annotation,WorkerId
relevance_tweets17_0,relevant,"I questioned the Trump administration about doing more to stop the flow of illicit opioids, fentanyl, and meth from other countries. My bipartisan legislation passed out of committee to provide them more tools to stop the flow. Let's move it forward. https://t.co/Av9TXkDs5t",997161324068122624,1074518754,SenatorBaldwin,2018-05-17T17:06:00.000Z,1.0,1.0,health and safety,policy prescription and evaluation,True,1.0,"['relevant', 'relevant']","['A17D6BK59S31BM', 'A3CVY8G619MGTI']"
relevance_tweets17_1,relevant,Last month new hires were at their highest levels in 17 years for the 2nd month in a row &amp; there were more job openings than unemployed workers. Further proof that our economy is thriving thanks to bills like the #TaxCutsandJobsAct → https://t.co/TUkI3H9ZPY,1017430544899039232,27676828,PatrickMcHenry,2018-07-12T15:28:39.000Z,1.0,1.0,economic,economic,True,1.0,"['relevant', 'relevant']","['A2KLJKDG90K1PP', 'A2Q1YS118AO2BP']"
relevance_tweets17_2,relevant,I’m working in Washington to ensure young people have access to life-saving treatments to overcome opioid addiction https://t.co/4dl129gi5t,1002636700097527808,236511574,SenGaryPeters,2018-06-01T19:43:12.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['relevant', 'relevant']","['A17D6BK59S31BM', 'A2KLJKDG90K1PP']"
relevance_tweets17_3,relevant,Today is #NationalLawEnforcementAppreciationDay. Please join me in thanking the men &amp; women in uniform for their service. We stand with you! https://t.co/4ZYZGYQZiG,818501817864716288,2929491549,RepBrianBabin,2017-01-09T16:56:55.000Z,1.0,1.0,"law and order, crime and justice","law and order, crime and justice",True,1.0,"['relevant', 'irrelevant']","['A2KLJKDG90K1PP', 'A37WDOIQH6JM6V']"
relevance_tweets17_4,relevant,"Today, @POTUS signed the American Energy Independence Executive Order. Read my statement with @westerncaucus: https://t.co/RYoYdJ8ORX",846836749712134144,1058051748,TXRandy14,2017-03-28T21:29:49.000Z,1.0,1.0,,,True,1.0,"['relevant', 'relevant']","['ACDX50KGPE97I', 'ATR6RB1RULOC0']"
relevance_tweets17_5,relevant,"""But politicians are calling for more accountability. Rep. Rush sent a letter to the Facebook co-founder after the revelation that 87 million Facebook accounts were compromised by Cambridge Analytica, and not the 50 million Facebook originally reported."" https://t.co/Rzfxz5tJhw",981986320938610688,305216911,RepBobbyRush,2018-04-05T20:05:57.000Z,1.0,1.0,other,other,True,1.0,"['relevant', 'relevant']","['A2Q1YS118AO2BP', 'A3GUJ6JD25FX7O']"
relevance_tweets17_6,relevant,"Join me and @RepJohnLarson at Manchester Community College tomorrow (January 13th) at 2 PM for a #townhall meeting to discuss the recently passed tax law and its potential impact on CT residents. For more details and information, visit my website: https://t.co/nq8OwclucUhttps://t.co/UtEE6Jl7IT",951882432319549440,85396297,RepJoeCourtney,2018-01-12T18:23:51.000Z,1.0,1.0,economic,,True,1.0,"['relevant', 'relevant']","['A2Q1YS118AO2BP', 'A37WDOIQH6JM6V']"
relevance_tweets17_7,relevant,"@CenterOnBudget @USCBO @BarackObama @AP Under #Trumpcare, an average 64-year-old American making $26,500/yr will see annual health premiums increase by more than $12,000/year. https://t.co/y2HeUL07PZ",884777109062918147,84119348,RepPaulTonko,2017-07-11T14:11:15.000Z,1.0,1.0,health and safety,economic,True,1.0,"['relevant', 'relevant']","['A17D6BK59S31BM', 'A38DC3BG1ZCVZ2']"
relevance_tweets17_8,relevant,Stopped by to check on the progress at the new @Walmart distribution center near Irvington. https://t.co/danM0CUK4d,892747658032533504,2253968388,RepByrne,2017-08-02T14:03:22.000Z,1.0,1.0,economic,,True,1.0,"['irrelevant', 'relevant']","['A3CVY8G619MGTI', 'A3GUJ6JD25FX7O']"
relevance_tweets17_9,relevant,"I am strong believer in teaching our children about the Constitution and why we should respect our Flag.
My staff were special guests at Hometown Elem. School in Putnam County where they spoke with students about how government works and handed out copies of the Constitution. https://t.co/BbdoACuq6Y",959455239979102209,2964526557,RepAlexMooney,2018-02-02T15:55:29.000Z,1.0,1.0,cultural identity,constitutionality and jurisprudence,True,1.0,"['relevant', 'irrelevant']","['A2KLJKDG90K1PP', 'A32CMQGGTSUK6Z']"
